#      D       Lambda1    TE = F8
0.05100     85.00730     0
0.05347     84.03413     74
0.05593     83.06087     148
0.05840     82.08760     222
0.06087     81.11437     296
0.06333     80.14113     370
0.06580     79.16790     444
0.06827     78.19467     518
0.07073     77.22143     592
0.07323     76.23453     665
0.07567     75.26337     734
0.07833     74.30093     811
0.08123     73.33653     892
0.08393     72.37433     970
0.08673     71.41130     1048
0.08977     70.44787     1138
0.09283     69.49207     1226
0.09540     68.52580     1299
0.09870     67.57810     1395
0.10190     66.63050     1488
0.10540     65.69700     1590
0.10840     64.73940     1677
0.11130     63.77460     1761
0.11430     62.82200     1848
0.11687     61.85847     1919
0.12027     60.92027     2018
0.12323     59.96230     2104
0.12613     59.00320     2188
0.12913     58.03207     2276
0.13227     57.08410     2369
0.13540     56.13100     2460
0.13843     55.17087     2548
0.14130     54.21200     2634
0.14427     53.25190     2720
0.14737     52.29647     2813
0.15043     51.34657     2903
0.15317     50.38580     2984
0.15657     49.44953     3083
0.15903     48.48477     3151
0.16277     47.55837     3260
0.16603     46.61700     3355
0.16907     45.66553     3443
0.17210     44.70740     3528
0.17543     43.76200     3625
0.17880     42.82320     3723
0.18237     41.88217     3827
0.18597     40.95160     3932
0.18933     40.00723     4030
0.19273     39.06637     4129
0.19607     38.11963     4226
0.19940     37.17620     4323
0.20303     36.24867     4426
0.20637     35.30543     4526
0.21017     34.37690     4637
0.21393     33.44910     4744
0.21793     32.52997     4861
0.22097     31.57660     4949
0.22537     30.68217     5078
0.22940     29.76430     5196
0.23293     28.82677     5296
0.23710     27.92220     5418
0.24120     27.00790     5538
0.24500     26.08210     5646
0.24913     25.17293     5767
0.25340     24.27000     5892
0.25700     23.33990     5997
0.26133     22.43857     6122
0.26537     21.52557     6242
0.26940     20.61230     6363
0.27383     19.72003     6490
0.27827     18.82063     6620
0.28173     17.88013     6721
0.28510     16.93540     6819
0.28850     15.99110     6918
0.29213     15.04770     7022
0.29497     14.08877     7103
0.29763     13.11870     7180
0.29997     12.13890     7247
0.30197     11.15850     7303
0.30347     10.17170     7346
0.30483     9.18127     7384
0.30463     8.17403     7408
0.30480     7.15280     7428
0.30433     6.11990     7442
0.30387     5.08703     7456
0.30340     4.05410     7470
0.30293     3.02127     7484
0.30247     1.98833     7498
0.30200     0.95550     7512
0.30153     -0.07743     7526
0.30107     -1.11030     7540
0.30060     -2.14320     7554
0.30013     -3.17610     7568
0.29967     -4.20897     7582
0.29920     -5.24190     7596
0.29873     -6.27473     7610
0.29827     -7.30767     7624
0.29780     -8.34050     7638
0.29733     -9.37343     7652
0.29700     -10.11120     7664
