#      D       Lambda1    TE = F0
0.30700     85.00540     0
0.31067     84.04850     110
0.31433     83.09150     220
0.31800     82.13460     330
0.32167     81.17770     440
0.32533     80.22080     550
0.32900     79.26390     660
0.33267     78.30700     770
0.33633     77.35010     880
0.34017     76.39233     992
0.34397     75.43837     1100
0.34793     74.48983     1219
0.35140     73.52450     1317
0.35537     72.57797     1436
0.35923     71.62077     1549
0.36307     70.67157     1664
0.36700     69.72200     1779
0.37093     68.77427     1894
0.37487     67.82623     2012
0.37893     66.87833     2131
0.38350     65.96080     2265
0.38807     65.04417     2399
0.39227     64.10707     2522
0.39650     63.17140     2646
0.40070     62.23760     2769
0.40520     61.31550     2901
0.40950     60.38230     3027
0.41383     59.44893     3154
0.41833     58.52523     3283
0.42303     57.61233     3424
0.42733     56.68297     3550
0.43227     55.78087     3692
0.43720     54.87840     3837
0.44177     53.95673     3974
0.44670     53.05960     4116
0.45147     52.14797     4256
0.45627     51.24397     4400
0.46137     50.35320     4550
0.46633     49.45593     4693
0.47133     48.55597     4840
0.47627     47.65163     4985
0.48137     46.75637     5135
0.48650     45.86570     5286
0.49150     44.96870     5433
0.49633     44.05967     5575
0.50137     43.16567     5723
0.50660     42.28480     5877
0.51187     41.40367     6032
0.51700     40.51800     6183
0.52193     39.61333     6328
0.52677     38.70410     6470
0.53163     37.79480     6611
0.53643     36.88800     6751
0.54130     35.98430     6894
0.54627     35.08690     7040
0.55117     34.18630     7184
0.55647     33.30983     7340
0.56150     32.41720     7488
0.56643     31.51900     7633
0.57150     30.62300     7785
0.57603     29.69743     7918
0.58040     28.77170     8046
0.58483     27.84447     8176
0.58890     26.90340     8295
0.59267     25.94677     8405
0.59643     24.98807     8512
0.59987     24.01657     8612
0.60283     23.03000     8698
0.60587     22.05187     8786
0.60850     21.05900     8862
0.61067     20.05557     8924
0.61310     19.05670     8991
0.61470     18.01670     9036
0.61590     16.97670     9072
0.61710     15.93670     9108
0.61830     14.89670     9144
0.61950     13.85670     9180
0.62070     12.81670     9216
0.62190     11.77670     9252
0.62310     10.73670     9288
0.62430     9.69670     9324
0.62550     8.65670     9360
0.62670     7.61670     9396
0.62790     6.57670     9432
0.62910     5.53670     9468
0.63030     4.49670     9504
0.63150     3.45670     9540
0.63270     2.41670     9576
0.63390     1.37670     9612
0.63510     0.33670     9648
0.63630     -0.70330     9684
0.63750     -1.74330     9720
0.63870     -2.78330     9756
0.63990     -3.82330     9792
0.64110     -4.86330     9828
0.64230     -5.90330     9864
0.64350     -6.94330     9900
0.64470     -7.98330     9936
0.64590     -9.02330     9972
0.64710     -10.06330     10008
0.64710     -10.06330     10010
