#     D        Lambda1      !Teff =35000
0.00003     42.14450     0
0.00210     42.42450     63
0.00417     42.70447     125
0.00623     42.98750     184
0.00813     43.27730     241
0.01003     43.56707     298
0.01193     43.85687     355
0.01383     44.14667     412
0.01573     44.43983     466
0.01747     44.73837     518
0.01920     45.03690     570
0.02093     45.33547     622
0.02267     45.63403     674
0.02427     45.94287     719
0.02577     46.25497     764
0.02727     46.56707     809
0.02877     46.87927     854
0.03027     47.19470     898
0.03147     47.52710     932
0.03263     47.85310     967
0.03380     48.17900     1002
0.03497     48.50497     1037
0.03613     48.83763     1069
0.03727     49.16547     1103
0.03840     49.49330     1137
0.03953     49.82113     1171
0.04067     50.14897     1205
0.04177     50.47870     1235
0.04277     50.81123     1265
0.04377     51.14380     1295
0.04477     51.47640     1325
0.04577     51.80893     1355
0.04700     52.13870     1389
0.04823     52.46420     1426
0.04947     52.78970     1463
0.05057     53.11917     1493
0.05150     53.45330     1521
0.05243     53.78733     1549
0.05337     54.12147     1577
0.05430     54.45560     1605
0.05487     54.79620     1619
0.05537     55.15330     1634
0.05587     55.51050     1649
0.05637     55.86760     1664
0.05687     56.22477     1679
0.05730     56.58940     1689
0.05767     56.93910     1700
0.05803     57.28880     1711
0.05840     57.63850     1722
0.05877     57.98820     1733
0.05890     62.77010     1734
0.05900     63.13050     1740
0.05920     63.49090     1746
0.05940     63.85140     1752
0.05970     68.96010     1758
0.05933     69.31137     1769
0.05900     69.66990     1779
0.05867     70.02843     1789
0.05833     70.38693     1799
0.05800     70.74550     1809
0.05777     71.09887     1813
0.05753     71.48777     1820
0.05730     71.87670     1827
0.05703     72.28400     1834
0.05670     72.63430     1842
0.05633     73.00517     1853
0.05597     73.37610     1864
0.05560     73.74700     1875
0.05520     74.11840     1884
0.05473     74.47990     1898
0.05427     74.84140     1912
0.05380     75.20280     1926
0.05373     75.25447     1928
