#     D        Lambda1      !Teff =17500
0.00003     -5.01463     0
0.00200     -4.31350     60
0.00397     -3.61230     119
0.00593     -2.91113     178
0.00790     -2.21000     237
0.00987     -1.50887     296
0.01183     -0.80770     355
0.01380     -0.10650     414
0.01577     0.59463     473
0.01773     1.29580     532
0.01970     1.99700     591
0.02167     2.69810     650
0.02363     3.39927     709
0.02560     4.10040     768
0.02757     4.80160     827
0.02953     5.50277     886
0.03150     6.20390     945
0.03347     6.90510     1004
0.03543     7.60620     1063
0.03740     8.30740     1122
0.03937     9.00853     1181
0.04133     9.70970     1240
0.04330     10.41090     1299
0.04527     11.11203     1358
0.04723     11.81320     1417
0.04920     12.51430     1476
0.05117     13.21550     1535
0.05313     13.91667     1594
0.05510     14.61780     1653
0.05707     15.31900     1712
0.05903     16.02017     1771
0.06160     16.70660     1845
0.06443     17.38457     1930
0.06700     18.07530     2004
0.06933     18.77213     2074
0.07177     19.46060     2144
0.07443     20.13940     2224
0.07713     20.82377     2302
0.07997     21.50073     2387
0.08293     22.17133     2473
0.08633     22.81987     2575
0.08973     23.46847     2677
0.09383     24.07290     2797
0.09823     24.65543     2929
0.10287     25.21997     3065
0.10753     25.78473     3205
0.11263     26.30433     3355
0.11780     26.82100     3510
0.12283     27.35320     3658
0.12780     27.89030     3807
0.13297     28.40280     3959
0.13817     28.91780     4115
0.14313     29.45510     4261
0.14807     29.99300     4406
0.15277     30.55333     4547
0.15747     31.11373     4688
0.16173     31.70503     4813
0.16593     32.30363     4939
0.17010     32.90280     5061
0.17427     33.50360     5186
0.17810     34.12840     5298
0.18177     34.75827     5408
0.18590     35.36290     5529
0.19033     35.94547     5662
0.19460     36.53630     5787
0.19880     37.13490     5913
0.20287     37.74470     6032
0.20680     38.35760     6150
0.21043     38.99130     6256
0.21357     39.64970     6350
0.21647     40.32423     6434
0.21833     41.03887     6490
0.21993     41.76430     6535
0.22097     42.49957     6566
0.22200     43.23480     6597
0.22257     43.97680     6611
0.22307     44.76343     6625
0.22373     45.52387     6643
0.22440     46.25330     6663
0.22503     46.98553     6679
0.22567     47.76917     6697
0.22643     48.50957     6718
0.22723     49.26257     6742
0.22803     50.01547     6766
0.22883     50.76847     6790
0.22918     51.54921     6803
0.22931     52.28181     6811
0.22945     53.02995     6819
0.22958     53.77809     6827
0.22972     54.52631     6835
0.22982     55.27101     6846
0.22987     56.00541     6870
0.22992     56.73981     6894
0.22997     57.47421     6918
0.23001     58.20860     6942
0.23006     58.94300     6966
0.23011     59.67740     6990
0.23016     60.41180     7014
0.23027     61.16687     7037
0.23067     61.84187     7049
