#     D        Lambda1      !Teff =30000
0.00013     33.46723     0
0.00197     33.97603     56
0.00373     34.48567     106
0.00520     35.01150     150
0.00667     35.53723     194
0.00853     36.04860     247
0.01047     36.54850     305
0.01240     37.05910     360
0.01413     37.57673     412
0.01587     38.09437     464
0.01760     38.60620     513
0.01943     39.11487     568
0.02127     39.62357     623
0.02340     40.11730     684
0.02617     40.57787     767
0.02893     41.03843     850
0.03177     41.50040     932
0.03477     41.95127     1022
0.03777     42.40210     1112
0.04070     42.85550     1197
0.04363     43.31047     1285
0.04657     43.76543     1373
0.04930     44.23290     1452
0.05200     44.69730     1533
0.05470     45.17730     1611
0.05667     45.68117     1670
0.05863     46.18503     1729
0.06063     46.69790     1787
0.06257     47.20350     1844
0.06450     47.70920     1902
0.06663     48.20270     1963
0.06883     48.69690     2029
0.07103     49.19110     2095
0.07310     49.69270     2154
0.07477     50.21357     2204
0.07643     50.73440     2254
0.07797     51.25630     2297
0.07943     51.77910     2341
0.08090     52.30200     2385
0.08247     52.81600     2429
0.08410     53.33530     2478
0.08573     53.85460     2527
0.08710     54.38360     2565
0.08823     54.92410     2599
0.08923     55.49370     2627
0.08970     56.04810     2640
0.09017     56.60380     2654
0.09063     57.15950     2668
0.09107     57.73363     2678
0.09147     58.31033     2690
0.09193     58.86700     2701
0.09250     59.40750     2718
0.09307     59.94793     2735
0.09350     64.93010     2745
0.09313     65.52750     2756
0.09287     66.07323     2764
0.09250     68.24010     2772
0.09223     68.82760     2780
0.09190     69.41770     2790
0.09157     70.01190     2800
0.09127     70.55257     2809
0.09097     71.09327     2818
0.09067     71.64983     2827
0.09037     72.21880     2836
0.09007     72.78773     2845
0.08977     73.33800     2854
0.08947     73.87870     2863
0.08917     74.41940     2872
0.08887     74.96010     2881
0.08857     75.50080     2890
0.08827     76.04147     2899
0.08797     76.58217     2908
0.08767     77.12287     2917
0.08737     77.66357     2926
0.08707     78.20427     2935
0.08677     78.74497     2944
0.08647     79.28567     2953
0.08617     79.82637     2962
0.08587     80.36707     2971
0.08557     80.90777     2980
0.08527     81.44847     2989
0.08497     81.98917     2998
0.08467     82.52987     3007
0.08437     83.07057     3016
0.08407     83.61127     3025
0.08377     84.15197     3034
0.08347     84.69267     3043
0.08323     85.11320     3050
