#     D        Lambda1      !Teff =11000
0.02823     -9.99870     0
0.03767     -9.37510     284
0.04710     -8.75150     567
0.05653     -8.12800     850
0.06597     -7.50440     1133
0.07540     -6.88080     1416
0.08483     -6.25730     1699
0.09427     -5.63370     1982
0.10370     -5.01010     2265
0.11313     -4.38660     2548
0.12257     -3.76300     2831
0.13200     -3.13940     3114
0.14143     -2.51590     3397
0.15087     -1.89230     3680
0.16030     -1.26870     3963
0.16973     -0.64520     4246
0.17917     -0.02160     4529
0.18797     0.68597     4790
0.19573     1.50763     5020
0.20407     2.26867     5270
0.21237     3.03150     5516
0.22057     3.81190     5759
0.22843     4.62640     5992
0.23527     5.52820     6197
0.24247     6.39693     6410
0.24947     7.28380     6617
0.25617     8.19567     6815
0.26270     9.11790     7011
0.26960     10.01370     7215
0.27433     11.03917     7354
0.27830     12.10080     7470
0.28267     13.14207     7601
0.28733     14.17597     7738
0.29197     15.20623     7874
0.29653     16.23927     8008
0.30090     17.28350     8139
0.30527     18.32587     8267
0.30997     19.35073     8405
0.31530     20.34830     8562
0.32217     21.24457     8768
0.32873     22.16673     8962
0.33540     23.07810     9159
0.34233     23.97140     9367
0.34873     24.90567     9556
0.35663     25.71167     9790
0.36490     26.47990     10035
0.37313     27.25577     10279
0.38137     28.03147     10526
0.38977     28.78663     10775
0.39820     29.54020     11025
0.40577     30.37893     11249
0.41207     31.31730     11435
0.41810     32.27640     11616
0.42430     33.21920     11799
0.43037     34.17100     11978
0.43550     35.18400     12129
0.43800     36.28400     12204
0.43943     37.40217     12244
0.44093     38.53883     12286
0.44270     41.21000     12339
0.44220     42.37250     12354
0.44167     43.54963     12370
0.44110     44.71450     12387
0.44023     45.87190     12413
0.43930     47.03070     12441
0.43837     48.18950     12469
0.43743     49.34833     12497
0.43650     50.50720     12525
0.43557     51.66600     12553
0.43463     52.82480     12581
0.43370     53.98360     12609
0.43277     55.14247     12637
0.43183     56.30130     12665
0.43090     57.46010     12693
0.42997     58.61890     12721
0.42840     59.75600     12765
0.42660     60.88080     12816
0.42483     62.00193     12869
0.42347     63.12590     12907
0.42180     64.25380     12954
0.41997     65.36647     13006
0.41880     66.49880     13041
0.41720     67.61500     13086
0.41557     68.74390     13132
0.41433     69.86843     13169
0.41310     70.99290     13203
0.41193     72.11923     13235
0.40983     73.23460     13295
0.40730     74.34540     13371
0.40477     75.45613     13447
0.40223     76.56690     13523
0.39970     77.67770     13599
0.39717     78.78843     13675
0.39463     79.89920     13751
0.39210     81.01000     13827
0.38957     82.12080     13903
0.38703     83.23157     13979
0.38450     84.34230     14055
0.38303     84.98540     14099
