#     D        Lambda1      !Teff =12500
0.00003     -9.60833     0
0.00557     -8.88723     167
0.01110     -8.16620     333
0.01663     -7.44507     499
0.02217     -6.72403     665
0.02770     -6.00290     831
0.03323     -5.28187     997
0.03877     -4.56077     1163
0.04430     -3.83970     1329
0.04983     -3.11857     1495
0.05537     -2.39753     1661
0.06090     -1.67640     1827
0.06643     -0.95537     1993
0.07197     -0.23427     2159
0.07750     0.48680     2325
0.08303     1.20787     2491
0.08857     1.92897     2657
0.09410     2.65000     2823
0.09963     3.37113     2989
0.10517     4.09217     3155
0.11070     4.81330     3321
0.11623     5.53437     3487
0.12177     6.25547     3653
0.12730     6.97650     3819
0.13283     7.69817     3982
0.13840     8.42210     4146
0.14400     9.13840     4314
0.14960     9.85470     4482
0.15483     10.60097     4636
0.16013     11.34237     4792
0.16567     12.06457     4958
0.17083     12.81263     5110
0.17580     13.57760     5259
0.18090     14.33040     5409
0.18607     15.08033     5561
0.19130     15.82620     5718
0.19697     16.53680     5885
0.20283     17.23627     6061
0.20903     17.90407     6244
0.21520     18.57270     6426
0.22133     19.24497     6610
0.22750     19.91590     6792
0.23367     20.58537     6974
0.23987     21.25580     7160
0.24600     21.92620     7341
0.25210     22.59960     7521
0.25797     23.29913     7697
0.26383     23.99960     7870
0.26967     24.69820     8045
0.27477     25.45177     8195
0.27973     26.21890     8341
0.28460     26.99260     8487
0.28950     27.76400     8631
0.29443     28.53260     8779
0.29983     29.26513     8938
0.30543     29.98287     9103
0.31193     30.61917     9298
0.31860     31.23870     9495
0.32537     31.84640     9695
0.33183     32.48690     9889
0.33843     33.11230     10084
0.34523     33.72037     10288
0.35067     34.45100     10448
0.35593     35.19247     10606
0.36020     35.99570     10731
0.36377     36.84500     10835
0.36563     37.75087     10891
0.36690     38.70000     10926
0.36747     39.60667     10943
0.36660     40.53350     10971
0.36570     41.45890     10995
0.36507     42.40183     11014
0.36427     43.34297     11035
0.36343     44.25473     11060
0.36273     45.20487     11078
0.36203     46.12450     11096
0.36113     47.05100     11123
0.36003     47.95963     11153
0.35860     48.86920     11196
0.35770     49.80330     11220
0.35720     50.72560     11235
0.35587     51.64053     11272
0.35437     52.55510     11314
0.35320     53.47470     11349
0.35223     54.41003     11375
0.35140     55.32180     11400
0.35037     56.23667     11428
0.34920     57.18770     11460
0.34827     58.09903     11488
0.34720     59.00380     11517
0.34577     59.91347     11560
0.34433     60.82307     11600
0.34290     61.73270     11643
0.34153     62.63337     11681
0.34017     63.55323     11722
0.33890     64.45650     11757
0.33743     65.35793     11798
0.33553     66.26253     11854
0.33347     67.15483     11914
0.33140     68.04400     11976
0.33133     68.07267     11978
