#     D        Lambda1      !Teff =20000
0.00013     2.69127     0
0.00177     3.34083     50
0.00340     3.99040     99
0.00503     4.63993     148
0.00667     5.28947     197
0.00830     5.93900     246
0.00993     6.58857     295
0.01157     7.23813     344
0.01320     7.88770     393
0.01483     8.53723     442
0.01647     9.18677     491
0.01810     9.83630     540
0.01973     10.48587     589
0.02137     11.13543     638
0.02300     11.78500     687
0.02463     12.43453     736
0.02627     13.08407     785
0.02790     13.73360     834
0.02953     14.38317     883
0.03117     15.03273     932
0.03280     15.68230     981
0.03443     16.33183     1030
0.03607     16.98137     1079
0.03770     17.63090     1128
0.03923     18.28047     1177
0.04083     18.91770     1222
0.04243     19.56017     1270
0.04437     20.18927     1325
0.04660     20.80890     1392
0.04877     21.43190     1454
0.05067     22.06380     1511
0.05257     22.69563     1568
0.05467     23.32733     1628
0.05677     23.95453     1691
0.05873     24.59257     1747
0.06050     25.22650     1800
0.06233     25.86893     1853
0.06490     26.48030     1929
0.06747     27.09117     2006
0.07013     27.69427     2083
0.07287     28.29863     2165
0.07590     28.88520     2253
0.07927     29.45020     2354
0.08263     30.01520     2455
0.08633     30.55933     2563
0.09007     31.10087     2675
0.09383     31.64250     2785
0.09760     32.18310     2898
0.10160     32.70450     3015
0.10583     33.21120     3142
0.11003     33.71740     3265
0.11400     34.24120     3384
0.11800     34.76870     3501
0.12200     35.29080     3621
0.12600     35.81290     3741
0.13000     36.33760     3858
0.13400     36.86320     3978
0.13750     37.42390     4080
0.14063     38.00640     4174
0.14380     38.58730     4266
0.14723     39.14957     4369
0.15067     39.71277     4469
0.15407     40.27943     4571
0.15747     40.84613     4673
0.16093     41.40697     4774
0.16447     41.96417     4880
0.16797     42.52450     4982
0.17140     43.09170     5085
0.17460     43.67090     5178
0.17730     44.27750     5259
0.18000     44.88400     5340
0.18217     45.51123     5402
0.18417     46.14583     5462
0.18600     46.79820     5514
0.18683     47.45507     5539
0.18760     48.14615     5562
0.18797     48.83017     5573
0.18833     49.54313     5584
0.18870     50.21543     5596
0.18906     50.87811     5608
0.18940     51.60330     5619
0.18977     52.29593     5630
0.19013     52.98847     5641
0.19050     53.68110     5652
0.19087     54.37373     5663
0.19113     55.08850     5673
0.19132     55.78666     5683
0.19149     56.45334     5693
0.19165     57.12000     5703
0.19190     62.56010     5712
0.19150     63.23810     5724
0.19113     63.94853     5735
