#     D        Lambda1      !Teff =10000
0.12623     -10.00530     0
0.13473     -9.29170     256
0.14323     -8.57810     511
0.15173     -7.86450     766
0.16023     -7.15090     1021
0.16873     -6.43730     1276
0.17723     -5.72370     1531
0.18573     -5.01010     1786
0.19423     -4.29650     2041
0.20273     -3.58290     2296
0.21140     -2.88980     2553
0.22057     -2.26407     2828
0.22943     -1.59587     3091
0.23873     -0.98880     3367
0.24837     -0.43380     3653
0.25817     0.08670     3944
0.26770     0.65560     4230
0.27643     1.34263     4489
0.28520     2.02420     4749
0.29370     2.73960     5001
0.30163     3.51907     5236
0.30947     4.30587     5471
0.31707     5.11587     5696
0.32457     5.93207     5918
0.33200     6.76030     6138
0.33877     7.64207     6341
0.34550     8.52850     6540
0.35200     9.42760     6732
0.35830     10.34190     6918
0.36443     11.27157     7102
0.37010     12.22900     7269
0.37540     13.20370     7425
0.38057     14.19400     7579
0.38533     15.19570     7720
0.39013     16.20043     7861
0.39510     17.19470     8007
0.40110     18.12950     8187
0.40760     19.03060     8379
0.41480     19.87830     8592
0.42250     20.68000     8820
0.43037     21.46723     9053
0.43820     22.25750     9288
0.44620     23.02560     9525
0.45417     23.79800     9761
0.46127     24.65000     9974
0.46810     25.52440     10176
0.47440     26.43920     10362
0.48007     27.39943     10529
0.48493     28.40057     10675
0.48820     29.46420     10770
0.49103     30.53747     10852
0.49390     31.63690     10935
0.49563     32.73693     10987
0.49753     33.84780     11041
0.49910     34.95220     11088
0.49977     36.09297     11108
0.49980     40.80000     11109
0.49890     41.94350     11136
0.49800     43.06330     11160
0.49687     44.18287     11191
0.49560     45.29570     11229
0.49433     46.40860     11267
0.49307     47.52140     11305
0.49180     48.63430     11343
0.49053     49.74713     11381
0.48927     50.86000     11419
0.48800     51.97290     11457
0.48673     53.08570     11495
0.48547     54.19857     11533
0.48420     55.31140     11571
0.48293     56.42430     11609
0.48167     57.53717     11647
0.48040     58.65000     11685
0.47913     59.76283     11723
0.47753     60.86717     11768
0.47600     61.99470     11811
0.47473     63.15567     11848
0.47370     64.27410     11877
0.47237     65.39077     11914
0.47037     66.49873     11972
0.46840     67.59540     12030
0.46650     68.70000     12084
0.46463     69.80783     12137
0.46277     70.92067     12193
0.46037     72.00907     12262
0.45827     73.12000     12322
0.45657     74.24033     12371
0.45483     75.34117     12422
0.45280     76.44230     12480
0.45033     77.53667     12551
0.44763     78.61667     12632
0.44493     79.69667     12713
0.44223     80.77667     12794
0.43953     81.85667     12875
0.43683     82.93667     12956
0.43413     84.01667     13037
0.43163     85.01667     13112
