#     D        Lambda1      !Teff =25000
0.00013     19.47680     0
0.00057     20.04360     14
0.00100     20.61030     27
0.00143     21.17710     40
0.00187     21.74380     53
0.00230     22.31060     66
0.00273     22.87730     79
0.00317     23.44403     92
0.00360     24.01080     105
0.00403     24.57750     118
0.00450     25.20500     129
0.00490     25.77840     141
0.00540     26.37260     153
0.00620     26.94600     177
0.00703     27.51810     200
0.00827     28.07713     236
0.00950     28.63090     273
0.01080     29.18820     309
0.01223     29.73440     352
0.01367     30.28060     395
0.01523     30.82687     439
0.01717     31.36433     497
0.01910     31.90180     555
0.02103     32.44080     610
0.02297     32.98090     668
0.02490     33.52100     726
0.02707     34.04633     788
0.02927     34.57087     854
0.03147     35.09543     920
0.03333     35.63303     973
0.03510     36.17980     1026
0.03697     36.71417     1079
0.03917     37.23777     1145
0.04137     37.76147     1211
0.04373     38.28103     1279
0.04623     38.79343     1354
0.04877     39.29867     1427
0.05180     39.78150     1518
0.05483     40.26430     1609
0.05800     40.73640     1701
0.06127     41.19670     1799
0.06457     41.66170     1898
0.06797     42.11813     1997
0.07140     42.56670     2100
0.07483     43.02060     2200
0.07807     43.48463     2297
0.08130     43.94870     2394
0.08440     44.42460     2484
0.08733     44.91287     2572
0.09027     45.40123     2660
0.09320     45.88690     2745
0.09613     46.37020     2833
0.09900     46.85890     2916
0.10147     47.37217     2990
0.10393     47.88543     3064
0.10633     48.39693     3133
0.10867     48.91807     3203
0.11100     49.43920     3273
0.11330     49.95510     3339
0.11560     50.47180     3408
0.11790     50.98850     3477
0.12040     51.49930     3549
0.12297     52.00937     3626
0.12553     52.51933     3703
0.12743     53.05927     3757
0.12907     53.60623     3806
0.13073     54.15420     3853
0.13263     54.68967     3910
0.13453     55.22510     3967
0.13570     55.79250     3999
0.13667     56.36873     4028
0.13757     56.92830     4054
0.13813     57.49973     4069
0.13870     58.08310     4086
0.13923     58.67328     4102
0.13950     59.30910     4110
0.13973     59.91183     4117
0.14000     60.54210     4125
0.14027     61.13250     4133
0.14052     61.73217     4141
0.14068     62.31293     4148
0.14083     62.94590     4157
0.14100     68.24010     4161
0.14057     68.83893     4174
0.14020     69.42560     4185
0.13987     69.99380     4195
0.13953     70.59380     4205
0.13920     71.21260     4215
0.13890     71.82470     4224
0.13860     72.44470     4233
0.13843     72.78920     4238
