#     D        Lambda1      !Teff =15000
0.00003     -6.46277     0
0.00350     -5.70130     105
0.00697     -4.93983     209
0.01043     -4.17840     313
0.01390     -3.41690     417
0.01737     -2.65543     521
0.02083     -1.89400     625
0.02430     -1.13250     729
0.02777     -0.37110     833
0.03123     0.39040     937
0.03470     1.15180     1041
0.03817     1.91330     1145
0.04163     2.67480     1249
0.04510     3.43620     1353
0.04857     4.19770     1457
0.05203     4.95913     1561
0.05550     5.72060     1665
0.05897     6.48210     1769
0.06243     7.24353     1873
0.06590     8.00500     1977
0.06937     8.76647     2081
0.07283     9.52793     2185
0.07630     10.28940     2289
0.07977     11.05087     2393
0.08323     11.81233     2497
0.08670     12.57170     2598
0.09020     13.33370     2703
0.09430     14.05930     2823
0.09827     14.79413     2939
0.10183     15.54907     3046
0.10567     16.29417     3158
0.10977     17.02503     3281
0.11373     17.75620     3397
0.11770     18.49360     3516
0.12230     19.18790     3651
0.12720     19.86060     3795
0.13287     20.47497     3965
0.13863     21.07797     4135
0.14450     21.66980     4311
0.15043     22.25807     4486
0.15640     22.84220     4665
0.16280     23.37480     4854
0.16903     23.92703     5038
0.17467     24.53910     5207
0.18020     25.16280     5370
0.18557     25.80263     5531
0.19093     26.44183     5689
0.19630     27.08020     5850
0.20143     27.73773     6001
0.20647     28.40497     6152
0.21183     29.04487     6310
0.21727     29.67733     6470
0.22297     30.28890     6641
0.22863     30.90333     6808
0.23427     31.52003     6977
0.23987     32.13473     7142
0.24547     32.74973     7310
0.25110     33.36170     7476
0.25667     33.98303     7640
0.26173     34.64697     7792
0.26633     35.34367     7927
0.27030     36.07600     8046
0.27380     36.83310     8148
0.27677     37.61257     8237
0.27907     38.41203     8303
0.28110     39.23080     8361
0.28233     40.06093     8398
0.28357     40.89800     8434
0.28457     41.73577     8462
0.28553     42.58770     8488
0.28640     43.43510     8514
0.28710     45.75010     8532
0.28660     46.63000     8547
0.28607     47.49717     8561
0.28517     48.32390     8587
0.28427     49.16927     8611
0.28343     50.02573     8636
0.28263     50.87927     8659
0.28207     51.75067     8674
0.28137     52.59900     8692
0.28060     53.43380     8715
0.27990     54.27900     8733
0.27933     55.15733     8750
0.27873     55.99317     8765
0.27790     56.84180     8787
0.27680     57.67110     8820
0.27567     58.55850     8852
0.27483     59.41450     8876
0.27397     60.27773     8900
0.27290     61.12010     8931
0.27197     61.95713     8956
0.27113     62.81823     8981
0.27040     63.69150     9003
0.26990     64.52900     9018
0.26913     65.35870     9038
0.26827     66.20130     9064
0.26690     67.03660     9102
0.26543     67.79253     9146
