#     D        Lambda1      !Teff =22500
0.00003     9.90217     0
0.00157     10.54033     47
0.00310     11.17850     93
0.00463     11.81667     139
0.00617     12.45483     185
0.00770     13.09290     231
0.00923     13.73107     277
0.01077     14.36923     323
0.01230     15.00740     369
0.01383     15.64557     415
0.01537     16.28373     461
0.01690     16.92180     507
0.01843     17.55997     553
0.01997     18.19813     599
0.02150     18.83630     645
0.02303     19.47447     691
0.02457     20.11263     737
0.02603     20.82603     779
0.02653     21.47977     793
0.02747     22.14013     818
0.02883     22.78667     859
0.03007     23.42883     893
0.03123     24.08197     928
0.03253     24.72367     964
0.03410     25.35680     1011
0.03567     25.99000     1058
0.03743     26.62707     1108
0.03930     27.25360     1164
0.04140     27.87140     1224
0.04410     28.47220     1305
0.04680     29.07310     1386
0.04950     29.67190     1464
0.05220     30.26990     1545
0.05480     30.86760     1620
0.05733     31.47477     1696
0.05987     32.07793     1769
0.06257     32.67493     1850
0.06527     33.27193     1931
0.06867     33.82803     2030
0.07223     34.38057     2137
0.07563     34.93850     2236
0.07883     35.51277     2332
0.08213     36.07523     2428
0.08583     36.61193     2539
0.08953     37.15337     2647
0.09307     37.70067     2753
0.09663     38.25317     2860
0.10030     38.79430     2967
0.10403     39.33383     3079
0.10750     39.88610     3180
0.11060     40.46550     3273
0.11373     41.04057     3364
0.11693     41.61357     3460
0.12013     42.18657     3556
0.12303     42.77223     3640
0.12583     43.36457     3724
0.12863     43.95687     3808
0.13120     44.56290     3882
0.13373     45.16503     3958
0.13610     45.78160     4026
0.13830     46.40280     4092
0.14043     47.02610     4153
0.14233     47.65220     4210
0.14423     48.27837     4267
0.14577     48.91307     4310
0.14727     49.54837     4355
0.14897     50.18447     4403
0.15077     50.81857     4457
0.15250     51.46130     4506
0.15390     52.09960     4548
0.15530     52.73780     4590
0.15640     53.38400     4620
0.15743     54.03983     4651
0.15840     54.71020     4677
0.15913     55.37450     4699
0.15987     56.07737     4720
0.16023     56.73140     4729
0.16057     57.38323     4739
0.16080     65.55010     4743
0.16047     66.21820     4753
0.16013     66.90710     4763
0.15980     68.85000     4770
0.15950     69.50810     4782
0.15910     70.18310     4794
0.15840     70.83250     4812
0.15767     71.50473     4834
0.15733     71.81027     4844
