#     D        Lambda1     TE = B7
0.00000     -2.61730     0
0.00690     -1.88460     207
0.01380     -1.15200     414
0.02070     -0.41930     621
0.02760     0.31340     828
0.03450     1.04610     1035
0.04140     1.77880     1242
0.04830     2.51140     1449
0.05520     3.24410     1656
0.06210     3.97680     1863
0.06900     4.70950     2070
0.07590     5.44220     2277
0.08280     6.17480     2484
0.08970     6.90750     2691
0.09660     7.64020     2898
0.10350     8.37290     3105
0.11040     9.10560     3312
0.11730     9.83820     3519
0.12420     10.57090     3726
0.13097     11.31327     3926
0.13747     12.07837     4121
0.14433     12.81290     4324
0.15123     13.54323     4528
0.15810     14.27520     4731
0.16493     15.01060     4936
0.17153     15.76740     5131
0.17820     16.52130     5328
0.18503     17.25670     5533
0.19160     18.01720     5727
0.19827     18.76727     5924
0.20507     19.50550     6128
0.21130     20.29350     6312
0.21750     21.08580     6495
0.22367     21.88237     6680
0.22983     22.67487     6862
0.23613     23.45647     7048
0.24260     24.22440     7242
0.24807     25.06443     7403
0.25353     25.90620     7564
0.25907     26.74880     7730
0.26380     27.63400     7869
0.26877     28.51007     8015
0.27417     29.35767     8177
0.27903     30.23637     8320
0.28360     31.13330     8454
0.28753     32.06177     8572
0.29167     32.98133     8693
0.29583     33.89993     8815
0.29950     34.84160     8925
0.30307     35.78483     9029
0.30660     36.72370     9135
0.30960     37.68090     9222
0.31270     38.64190     9312
0.31593     39.59670     9406
0.31830     40.57710     9477
0.32017     41.57650     9530
0.32170     42.57040     9576
0.32383     43.55067     9637
0.32570     44.56820     9690
0.32663     45.58937     9718
0.32720     46.58973     24424
0.32737     47.64850     40643
0.32790     48.68550     40659
0.32810     49.68727     64880
0.32780     50.71120     90174
0.32670     51.70770     90207
0.32543     52.71520     90242
0.32410     53.71150     90279
0.32277     54.71663     90319
0.32130     55.71440     90360
0.31957     56.70953     90412
0.31833     57.70510     90446
0.31617     58.68963     90508
0.31407     59.67463     90568
0.31183     60.65623     90632
0.30907     61.63083     90715
0.30677     62.61067     90781
0.30447     63.59333     90847
0.30203     64.56667     90920
0.29903     65.52437     91007
0.29580     66.48480     91101
0.29293     67.44957     91187
0.29007     68.41430     91273
0.28720     69.37900     91359
0.28433     70.34377     91445
0.28147     71.30853     91531
0.27860     72.27330     91617
0.27573     73.23800     91703
0.27287     74.20273     91789
0.27000     75.16750     91875
0.26713     76.13227     91961
0.26427     77.09700     92047
0.26140     78.06170     92133
0.25853     79.02647     92219
0.25567     79.99123     92305
0.25280     80.95600     92391
0.24993     81.92070     92477
0.24707     82.88543     92563
0.24420     83.85020     92649
0.24133     84.81497     92735
0.24070     85.02810     92756
