#     D        Lambda1     TE = B9
0.00000     -4.80150     0
0.00867     -4.09143     260
0.01733     -3.38137     520
0.02600     -2.67130     780
0.03467     -1.96123     1040
0.04333     -1.25117     1300
0.05200     -0.54110     1560
0.06067     0.16897     1820
0.06933     0.87903     2080
0.07800     1.58910     2340
0.08667     2.29927     2600
0.09533     3.00933     2860
0.10400     3.71940     3120
0.11267     4.42947     3380
0.12133     5.13953     3640
0.13000     5.84960     3900
0.13867     6.55967     4160
0.14733     7.26973     4420
0.15603     7.97380     4678
0.16483     8.66887     4939
0.17343     9.38970     5197
0.18210     10.09810     5454
0.19067     10.81807     5708
0.19900     11.57100     5958
0.20700     12.35500     6195
0.21533     13.10570     6442
0.22373     13.84600     6691
0.23197     14.60590     6935
0.23960     15.42490     7164
0.24750     16.22000     7398
0.25537     17.02070     7631
0.26307     17.83690     7859
0.27070     18.66050     8088
0.27860     19.45360     8322
0.28623     20.27657     8548
0.29347     21.13513     8762
0.30037     22.01913     8969
0.30757     22.87947     9182
0.31480     23.73540     9396
0.32177     24.61193     9602
0.32837     25.51683     9800
0.33430     26.46940     9975
0.34027     27.42330     10151
0.34630     28.37100     10329
0.35270     29.29460     10521
0.35787     30.29047     10673
0.36283     31.29727     10819
0.36783     32.29853     10966
0.37293     33.29923     11119
0.37723     34.33247     11245
0.38100     35.39270     11355
0.38407     36.47303     11447
0.38677     37.56453     11525
0.38963     38.65720     11608
0.39250     39.75380     11691
0.39427     40.87497     11744
0.39517     42.00557     11771
0.39590     43.14590     11790
0.39690     44.29880     11820
0.39677     45.42963     11851
0.39607     46.57753     11872
0.39560     47.69570     22740
0.39560     48.81487     56315
0.39460     49.95220     61302
0.39327     51.08320     61339
0.39157     52.20907     61390
0.38987     53.33490     61441
0.38810     54.45700     61656
0.38637     55.57430     61705
0.38403     56.67430     61775
0.38160     57.76800     61845
0.37910     58.87000     61917
0.37663     59.96237     61991
0.37363     61.04937     62078
0.37067     62.13217     62164
0.36777     63.22167     62248
0.36467     64.30667     62341
0.36130     65.38060     62439
0.35777     66.45300     62542
0.35403     67.51090     62651
0.35050     68.58250     62757
0.34663     69.63683     62870
0.34213     70.66183     63005
0.33763     71.68683     63140
0.33313     72.71183     63275
0.32863     73.73683     63410
0.32413     74.76183     63545
0.31963     75.78683     63680
0.31513     76.81183     63815
0.31063     77.83683     63950
0.30613     78.86183     64085
0.30163     79.88683     64220
0.29713     80.91183     64355
0.29263     81.93683     64490
0.28813     82.96183     64625
0.28363     83.98683     64760
0.27913     85.01183     64895
0.27910     85.01940     64898
