#     D        Lambda1     TE = A3
0.18680     -10.00780     0
0.19540     -9.29340     258
0.20400     -8.57910     516
0.21260     -7.86470     774
0.22120     -7.15040     1032
0.22980     -6.43600     1290
0.23840     -5.72170     1548
0.24700     -5.00730     1806
0.25560     -4.29300     2064
0.26420     -3.57860     2322
0.27297     -2.88180     2582
0.28280     -2.34790     2874
0.29237     -1.76907     3158
0.30187     -1.17587     3440
0.31137     -0.58290     3722
0.32047     0.06693     3992
0.33047     0.56943     4292
0.34003     1.14900     4576
0.34950     1.74320     4857
0.35903     2.33217     5140
0.36867     2.90150     5429
0.37833     3.46547     5716
0.38783     4.05630     5998
0.39717     4.67020     6275
0.40637     5.30680     6551
0.41470     6.05210     6798
0.42280     6.82250     7038
0.43107     7.57783     7283
0.43933     8.33277     7528
0.44737     9.12137     7768
0.45547     9.89380     8009
0.46237     10.77603     8213
0.46903     11.67690     8410
0.47590     12.55860     8616
0.48263     13.45143     8815
0.48950     14.33610     9018
0.49553     15.28167     9196
0.50103     16.25817     9358
0.50687     17.21273     9533
0.51230     18.18970     9693
0.51740     19.19040     9846
0.52273     20.17947     10003
0.52710     21.21500     10131
0.53123     22.25937     10252
0.53527     23.30957     10370
0.53883     24.37383     10477
0.54200     25.46150     10569
0.54417     26.56677     10631
0.54583     27.68857     10681
0.54760     28.80330     10731
0.54930     29.97110     10779
0.55013     31.14167     10804
0.55067     32.30830     10820
0.55117     33.48000     10835
0.55163     34.60000     10849
0.55103     35.75257     10874
0.55040     36.92500     10893
0.54980     38.09450     10911
0.54913     39.22707     10930
0.54823     40.37017     10954
0.54673     41.47923     10997
0.54517     42.60003     11044
0.54360     43.72080     11091
0.54203     44.84157     11138
0.54047     45.96233     11185
0.53890     47.08310     11232
0.53733     48.20387     11279
0.53577     49.32463     11326
0.53420     50.44540     11373
0.53263     51.56617     11420
0.53107     52.68693     11467
0.52950     53.80770     11514
0.52793     54.92847     11561
0.52637     56.04923     11608
0.52480     57.17000     11655
0.52323     58.29077     11702
0.52167     59.41153     11749
0.52010     60.53230     11796
0.51853     61.65307     11843
0.51697     62.77383     11890
0.51540     63.89460     11937
0.51383     65.01537     11984
0.51227     66.13617     12031
0.51070     67.25690     12078
0.50913     68.37767     12125
0.50757     69.49847     12172
0.50600     70.61920     12219
0.50443     71.74003     12266
0.50287     72.86077     12313
0.50130     73.98150     12360
0.49973     75.10233     12407
0.49817     76.22307     12454
0.49660     77.34390     12501
0.49503     78.46463     12548
0.49347     79.58537     12595
0.49190     80.70620     12642
0.49033     81.82693     12689
0.48877     82.94773     12736
0.48720     84.06850     12783
0.48580     85.07000     12827
