#     D        Lambda1     TE = B1
0.00000     22.25000     0
0.00310     22.87000     93
0.00620     23.49000     186
0.00930     24.11000     279
0.01240     24.73000     372
0.01550     25.35000     465
0.01860     25.97000     558
0.02170     26.59000     651
0.02480     27.21000     744
0.02857     27.79273     854
0.03250     28.36410     972
0.03643     28.93543     1090
0.04037     29.50677     1208
0.04423     30.08667     1321
0.04733     30.70667     1414
0.05043     31.32720     1504
0.05353     31.95120     1597
0.05663     32.57683     1687
0.05967     33.19907     1778
0.06273     33.82813     1870
0.06540     34.47020     1947
0.06800     35.11740     2025
0.07047     35.76843     2096
0.07207     36.45333     2144
0.07380     37.12780     2193
0.07570     37.79860     2250
0.07757     38.47030     2303
0.07927     39.14800     2354
0.08097     39.82563     2405
0.08270     40.49830     2454
0.08447     41.17083     2507
0.08593     41.85153     2548
0.08720     42.54510     2586
0.08860     43.22690     2625
0.09017     43.91230     2672
0.09163     44.60520     2713
0.09277     45.30580     2747
0.09390     46.00650     2781
0.09500     46.69780     2811
0.09600     47.39670     2841
0.09697     48.09393     2867
0.09790     48.80450     2895
0.09873     49.51293     2917
0.09947     50.22473     2939
0.10020     50.93670     2958
0.10093     51.64960     2980
0.10167     52.36260     3002
0.10217     53.08600     3014
0.10257     53.80600     3026
0.10297     54.50370     3038
0.10340     55.25000     3051
0.10383     55.96533     3064
0.10427     56.65867     3077
0.10470     57.35200     3090
0.10513     58.04533     3103
0.10567     58.77047     3116
0.10627     59.46227     3134
0.10687     60.15407     3152
0.10710     60.84583     19297
0.10710     61.53797     40061
0.10710     62.23013     60826
0.10710     62.92227     81590
0.10710     63.61443     102355
0.10740     64.35780     104934
0.10777     65.11147     104945
0.10780     65.86000     104955
0.10737     66.60630     104968
0.10700     67.29747     111932
0.10700     67.98963     132697
0.10700     68.68177     153461
0.10700     69.37393     174226
0.10700     70.06607     194990
0.10700     70.75823     215755
0.10700     71.45037     236519
0.10694     72.19382     244916
0.10681     72.95121     244925
0.10667     73.64687     244934
0.10651     74.34250     244943
0.10637     75.03810     244952
0.10673     74.27267     244972
0.10703     73.50017     244981
0.10673     74.27267     244994
0.10643     75.04517     245003
0.10613     75.81767     245012
0.10583     76.59017     245021
0.10553     77.36267     245030
0.10523     78.13517     245039
0.10493     78.90767     245048
0.10463     79.68017     245057
0.10433     80.45267     245066
0.10403     81.22517     245075
0.10373     81.99767     245084
0.10343     82.77017     245093
0.10313     83.54267     245102
0.10283     84.31517     245111
0.10253     85.08767     245120
0.10250     85.17350     245123
