#     D        Lambda1     TE = B3
0.00000     10.93400     0
0.00447     11.58843     134
0.00893     12.24287     268
0.01340     12.89730     402
0.01787     13.55173     536
0.02233     14.20617     670
0.02680     14.86060     804
0.03127     15.51503     938
0.03573     16.16947     1072
0.04020     16.82390     1206
0.04467     17.47833     1340
0.04913     18.13277     1474
0.05360     18.78720     1608
0.05807     19.44163     1742
0.06253     20.09607     1876
0.06720     20.73930     2013
0.07187     21.38310     2150
0.07633     22.03937     2284
0.08080     22.69560     2418
0.08540     23.34020     2553
0.09000     23.98710     2688
0.09447     24.64160     2822
0.09877     25.30960     2948
0.10290     25.98900     3072
0.10700     26.67140     3192
0.11103     27.35553     3313
0.11503     28.04457     3430
0.11897     28.73573     3548
0.12297     29.42233     3665
0.12700     30.10650     3786
0.13053     30.81613     3889
0.13387     31.53907     3989
0.13727     32.25740     4088
0.14073     32.97550     4192
0.14413     33.69090     4291
0.14750     34.40870     4392
0.15060     35.13960     4482
0.15350     35.88130     4566
0.15590     36.64000     4638
0.15830     37.39870     4710
0.16077     38.15803     4781
0.16327     38.91937     4856
0.16560     39.68000     4923
0.16793     40.46873     4991
0.16947     41.25900     5036
0.17103     42.03860     5080
0.17270     42.82430     5130
0.17437     43.60867     5177
0.17603     44.38963     5227
0.17760     45.17890     5271
0.17867     45.97297     5303
0.17990     46.76040     5337
0.18130     47.54120     5379
0.18250     48.32560     5412
0.18360     49.12000     5445
0.18460     49.95000     5475
0.18507     50.79000     5489
0.18541     51.66833     5501
0.18561     52.51625     5512
0.18583     53.32667     5523
0.18607     54.14333     5536
0.18630     54.93430     15273
0.18630     55.72563     39013
0.18630     56.51697     62753
0.18630     57.30830     86493
0.18630     58.09963     110233
0.18630     58.89097     133973
0.18630     59.68230     157713
0.18630     60.47363     181453
0.18600     61.29780     197256
0.18547     62.09183     197272
0.18503     62.89003     197285
0.18463     63.71503     197297
0.18340     64.52560     197328
0.18303     65.32410     197339
0.18260     66.13000     197349
0.18160     66.93000     197379
0.18063     67.71747     197405
0.17970     68.51350     197433
0.17873     69.31333     197459
0.17773     70.11333     197489
0.17673     70.90550     197516
0.17573     71.69413     197545
0.17473     72.49333     197573
0.17373     73.29333     197603
0.17273     74.09333     197633
0.17173     74.89333     197663
0.17073     75.69333     197693
0.16973     76.49333     197723
0.16873     77.29333     197753
0.16773     78.09333     197783
0.16673     78.89333     197813
0.16573     79.69333     197843
0.16473     80.49333     197873
0.16373     81.29333     197903
0.16273     82.09333     197933
0.16173     82.89333     197963
0.16073     83.69333     197993
0.15973     84.49333     198023
0.15910     85.00000     198044
