#     D        Lambda1     TE = B2
0.00010     18.61700     0
0.00413     19.18670     121
0.00817     19.75630     242
0.01220     20.32590     363
0.01623     20.89553     484
0.02027     21.46520     605
0.02430     22.03480     726
0.02833     22.60440     847
0.03237     23.17407     968
0.03640     23.74370     1089
0.04017     24.33803     1199
0.04377     24.94100     1307
0.04753     25.52877     1417
0.05133     26.11967     1531
0.05523     26.70387     1645
0.05913     27.28457     1762
0.06280     27.88400     1869
0.06607     28.50663     1967
0.06940     29.12420     2064
0.07297     29.72913     2171
0.07653     30.34063     2276
0.07930     30.98890     2358
0.08207     31.63827     2441
0.08483     32.28587     2521
0.08760     32.93160     2604
0.09037     33.58037     2684
0.09310     34.22350     2766
0.09563     34.87640     2839
0.09807     35.53460     2912
0.10047     36.19727     2981
0.10263     36.86770     3046
0.10480     37.53820     3111
0.10690     38.21440     3171
0.10897     38.89070     3233
0.11103     39.56517     3292
0.11310     40.23830     3354
0.11437     40.92997     3389
0.11553     41.62097     3424
0.11690     42.31200     3462
0.11837     43.00340     3506
0.11973     43.70310     3544
0.12080     44.39440     3576
0.12187     45.08580     3608
0.12287     45.79460     3635
0.12387     46.51450     3664
0.12510     47.22010     3699
0.12633     47.92353     3736
0.12730     48.61500     3762
0.12823     49.31500     3790
0.12917     50.01500     3818
0.13010     50.71500     3846
0.13097     51.42800     3872
0.13137     52.13400     3884
0.13183     52.89533     3896
0.13247     53.62453     3914
0.13310     54.34930     3933
0.13370     55.09800     3948
0.13420     55.84240     3963
0.13460     56.54000     3975
0.13497     57.29370     3986
0.13540     57.98960     4317
0.13540     58.68683     25234
0.13543     59.39880     42434
0.13570     60.13870     42444
0.13603     60.90957     42454
0.13620     61.60660     58743
0.13620     62.30383     79660
0.13620     63.00107     100577
0.13620     63.69830     121494
0.13620     64.39553     142411
0.13620     65.09277     163328
0.13620     65.79000     184245
0.13590     66.51380     192354
0.13553     67.27003     192365
0.13517     67.99110     192376
0.13477     68.72443     192388
0.13437     69.44797     192400
0.13393     70.19277     192413
0.13350     70.92820     192426
0.13307     71.63040     192439
0.13263     72.34630     192452
0.13227     73.07630     192463
0.13190     73.83000     192474
0.13153     74.58370     192485
0.13117     75.33740     192496
0.13080     76.09110     192507
0.13043     76.84480     192518
0.13007     77.59853     192529
0.12970     78.35220     192540
0.12933     79.10590     192551
0.12897     79.85963     192562
0.12860     80.61330     192573
0.12823     81.36707     192584
0.12787     82.12073     192595
0.12750     82.87440     192606
0.12713     83.62817     192617
0.12677     84.38183     192628
0.12640     85.13560     192639
0.12640     85.13560     192641
