#     D        Lambda1     Mbol = -3.5
0.15940     85.13200     0
0.16007     84.03867     20
0.16073     82.94533     40
0.16140     81.85200     60
0.16207     80.75867     80
0.16273     79.66533     100
0.16340     78.57200     120
0.16407     77.47867     140
0.16473     76.38533     160
0.16540     75.29200     180
0.16607     74.19867     200
0.16673     73.10533     220
0.16740     72.01200     240
0.16807     70.91867     260
0.16873     69.82533     280
0.16957     68.73460     302
0.17080     67.64000     339
0.17200     66.56750     372
0.17347     65.49727     413
0.17483     64.41333     451
0.17563     63.29333     475
0.17660     62.21900     501
0.17837     61.15547     551
0.17923     60.05000     577
0.18090     58.97500     624
0.18287     57.90577     680
0.18453     56.82807     727
0.18640     55.76580     780
0.18893     54.71243     856
0.19110     53.64670     918
0.19317     52.58013     977
0.19547     51.51893     1043
0.19803     50.46310     1120
0.20033     49.41063     1186
0.20300     48.35510     1263
0.20543     47.29000     1333
0.20780     46.23540     1401
0.21147     45.22123     1508
0.21387     44.15940     1577
0.21650     43.10260     1653
0.22007     42.07957     1760
0.22437     41.08330     1883
0.22817     40.06780     1994
0.23177     39.05000     2099
0.23527     38.02913     2201
0.23913     37.01607     2317
0.24410     36.05750     2463
0.24860     35.07310     2592
0.25390     34.13300     2748
0.25973     33.22670     2920
0.26630     32.37090     3114
0.27330     31.55170     3324
0.27947     30.66480     3506
0.28740     29.93580     3741
0.29507     29.17333     3968
0.30353     28.50737     4219
0.31207     27.84637     4472
0.32090     27.22420     4734
0.33013     26.66460     5008
0.33923     26.08447     5278
0.34820     25.48670     5547
0.35717     24.88890     5816
0.36613     24.29110     6085
0.37510     23.69330     6354
0.38407     23.09553     6623
0.39303     22.49777     6892
0.40200     21.90000     7161
0.41097     21.30223     7430
0.41993     20.70447     7699
0.42890     20.10670     7968
0.43787     19.50890     8237
0.44683     18.91110     8506
0.45580     18.31330     8775
0.46477     17.71553     9044
0.47373     17.11777     9313
0.48270     16.52000     9582
0.49167     15.92223     9851
0.50063     15.32447     10120
0.50960     14.72670     10389
0.51857     14.12890     10658
0.52753     13.53110     10927
0.53650     12.93330     11196
0.54547     12.33553     11465
0.55443     11.73777     11734
0.56340     11.14000     12003
0.57237     10.54223     12272
0.58133     9.94447     12541
0.59030     9.34670     12810
0.59927     8.74890     13079
0.60823     8.15110     13348
0.61720     7.55330     13617
0.62617     6.95553     13886
0.63513     6.35777     14155
0.64410     5.76000     14424
0.65307     5.16223     14693
0.66203     4.56447     14962
0.67100     3.96670     15231
0.67997     3.36890     15500
0.68893     2.77110     15769
0.69790     2.17330     16038
0.70000     2.03330     16103
