#     D        Lambda1     Mbol = -5.0
0.10490     85.09400     0
0.10543     83.98467     16
0.10597     82.87533     32
0.10650     81.76600     48
0.10703     80.65667     64
0.10757     79.54733     80
0.10810     78.43800     96
0.10863     77.32867     112
0.10917     76.21933     128
0.10970     75.11000     144
0.11023     74.00067     160
0.11077     72.89133     176
0.11130     71.78200     192
0.11183     70.67267     208
0.11237     69.56333     224
0.11270     68.44667     242
0.11270     67.34600     255
0.11310     66.25000     267
0.11347     65.16467     278
0.11433     64.06873     301
0.11527     62.99200     330
0.11557     61.87600     346
0.11627     60.77793     368
0.11730     59.68000     399
0.11857     58.60910     434
0.11970     57.53270     465
0.12047     56.43150     488
0.12187     55.34730     527
0.12367     54.28700     578
0.12570     53.22630     636
0.12700     52.16190     675
0.12827     51.08103     710
0.12990     50.00710     756
0.13170     48.92900     807
0.13323     47.84840     853
0.13533     46.78553     913
0.13763     45.71373     980
0.13977     44.65357     1043
0.14183     43.59987     1102
0.14417     42.54453     1169
0.14697     41.50897     1250
0.15007     40.48107     1343
0.15340     39.46020     1440
0.15687     38.44170     1541
0.16040     37.43000     1644
0.16383     36.41000     1744
0.16790     35.41400     1863
0.17243     34.44213     1996
0.17690     33.46800     2127
0.18113     32.47973     2251
0.18617     31.52893     2399
0.19113     30.57950     2545
0.19703     29.68273     2719
0.20257     28.76600     2882
0.20820     27.85420     3048
0.21477     27.00573     3242
0.22143     26.16620     3439
0.22800     25.31950     3636
0.23457     24.47270     3833
0.24113     23.62600     4030
0.24770     22.77920     4227
0.25427     21.93250     4424
0.26083     21.08570     4621
0.26740     20.23890     4818
0.27397     19.39220     5015
0.28053     18.54540     5212
0.28710     17.69870     5409
0.29367     16.85190     5606
0.30023     16.00520     5803
0.30680     15.15840     6000
0.31337     14.31170     6197
0.31993     13.46490     6394
0.32650     12.61820     6591
0.33307     11.77140     6788
0.33963     10.92463     6985
0.34620     10.07790     7182
0.35277     9.23110     7379
0.35933     8.38440     7576
0.36590     7.53760     7773
0.37247     6.69090     7970
0.37903     5.84410     8167
0.38560     4.99740     8364
0.39217     4.15060     8561
0.39873     3.30390     8758
0.40530     2.45710     8955
0.41187     1.61037     9152
0.41843     0.76360     9349
0.42500     -0.08320     9546
0.43157     -0.92990     9743
0.43813     -1.77670     9940
0.44470     -2.62340     10137
0.45127     -3.47020     10334
0.45783     -4.31690     10531
0.46440     -5.16370     10728
0.47097     -6.01040     10925
0.47753     -6.85720     11122
0.48410     -7.70390     11319
0.49067     -8.55070     11516
0.49723     -9.39750     11713
0.50200     -10.01210     11858
