#     D        Lambda1     Mbol = -6.5
0.05680     85.18420     0
0.05720     84.11440     12
0.05760     83.04470     24
0.05800     81.97490     36
0.05840     80.90510     48
0.05880     79.83530     60
0.05920     78.76560     72
0.05960     77.69580     84
0.06000     76.62600     96
0.06040     75.55630     108
0.06080     74.48650     120
0.06120     73.41670     132
0.06160     72.34700     144
0.06200     71.27720     156
0.06240     70.20740     168
0.06280     69.13770     180
0.06357     68.10573     200
0.06463     67.08487     229
0.06560     66.05700     260
0.06560     65.03209     271
0.06597     64.01557     284
0.06607     62.96040     295
0.06653     61.91553     313
0.06733     60.88843     334
0.06817     59.82760     358
0.06923     58.80630     388
0.07000     57.74650     411
0.07057     56.70837     428
0.07147     55.66213     455
0.07280     54.64640     492
0.07447     53.62670     539
0.07587     52.60090     581
0.07693     51.57727     610
0.07793     50.52407     638
0.07933     49.50217     679
0.08060     48.47670     714
0.08203     47.45117     754
0.08360     46.43790     798
0.08480     45.42930     834
0.08613     44.41060     871
0.08783     43.40270     919
0.09010     42.41080     984
0.09133     41.38193     1018
0.09300     40.38020     1065
0.09537     39.38157     1135
0.09717     38.36280     1184
0.09907     37.35270     1238
0.10140     36.35000     1305
0.10390     35.35760     1377
0.10700     34.36550     1467
0.10877     33.35360     1520
0.11183     32.38457     1609
0.11570     31.43820     1722
0.11963     30.49657     1837
0.12350     29.55110     1950
0.12760     28.61500     2070
0.13197     27.69667     2198
0.13670     26.79270     2337
0.14163     25.90177     2485
0.14657     25.01080     2633
0.15150     24.11990     2781
0.15643     23.22890     2929
0.16137     22.33793     3077
0.16630     21.44700     3225
0.17123     20.55607     3373
0.17617     19.66513     3521
0.18110     18.77420     3669
0.18603     17.88327     3817
0.19097     16.99230     3965
0.19590     16.10130     4113
0.20083     15.21040     4261
0.20577     14.31943     4409
0.21070     13.42850     4557
0.21563     12.53757     4705
0.22057     11.64663     4853
0.22550     10.75570     5001
0.23043     9.86470     5149
0.23537     8.97380     5297
0.24030     8.08280     5445
0.24523     7.19190     5593
0.25017     6.30093     5741
0.25510     5.41000     5889
0.26003     4.51907     6037
0.26497     3.62813     6185
0.26990     2.73720     6333
0.27483     1.84620     6481
0.27977     0.95530     6629
0.28470     0.06430     6777
0.28963     -0.82663     6925
0.29457     -1.71757     7073
0.29950     -2.60850     7221
0.30443     -3.49943     7369
0.30937     -4.39040     7517
0.31430     -5.28130     7665
0.31923     -6.17230     7813
0.32417     -7.06327     7961
0.32910     -7.95420     8109
0.33403     -8.84513     8257
0.33897     -9.73607     8405
0.34050     -10.01300     8453
