#     D        Lambda1     Mbol = -4.0
0.14250     85.01000     0
0.14297     83.83400     14
0.14343     82.65800     28
0.14390     81.48200     42
0.14437     80.30600     56
0.14483     79.13000     70
0.14530     77.95400     84
0.14577     76.77800     98
0.14623     75.60200     112
0.14670     74.42600     126
0.14717     73.25000     140
0.14763     72.07400     154
0.14810     70.89800     168
0.14857     69.72200     182
0.14907     68.54757     196
0.14997     67.43483     221
0.15020     66.27000     237
0.15113     65.15650     265
0.15223     64.02337     295
0.15350     62.90090     330
0.15467     61.77040     362
0.15623     60.65630     409
0.15770     59.52630     450
0.15907     58.41500     488
0.16067     57.30227     536
0.16237     56.18667     584
0.16467     55.08630     650
0.16643     53.97543     700
0.16860     52.87810     762
0.17053     51.77117     817
0.17280     50.68000     882
0.17507     49.58747     947
0.17720     48.48180     1008
0.17957     47.38917     1076
0.18220     46.30570     1152
0.18477     45.21333     1226
0.18750     44.12000     1308
0.19057     43.04620     1397
0.19390     41.97640     1494
0.19757     40.91637     1601
0.20123     39.86093     1708
0.20483     38.79880     1813
0.20947     37.78360     1949
0.21387     36.75227     2078
0.21770     35.70090     2190
0.22290     34.71250     2343
0.22873     33.76053     2515
0.23417     32.78400     2675
0.23963     31.80703     2836
0.24627     30.90623     3032
0.25310     30.02380     3234
0.26003     29.14820     3439
0.26723     28.29697     3652
0.27480     27.47790     3876
0.28260     26.68000     4107
0.29027     25.87093     4334
0.29783     25.04707     4561
0.30537     24.22673     4787
0.31293     23.40280     5014
0.32047     22.58253     5240
0.32803     21.75857     5467
0.33557     20.93833     5693
0.34313     20.11437     5920
0.35067     19.29403     6146
0.35823     18.47017     6373
0.36577     17.64983     6599
0.37333     16.82597     6826
0.38087     16.00563     7052
0.38843     15.18167     7279
0.39597     14.36143     7505
0.40353     13.53747     7732
0.41107     12.71720     7958
0.41863     11.89327     8185
0.42617     11.07293     8411
0.43373     10.24907     8638
0.44127     9.42873     8864
0.44883     8.60480     9091
0.45637     7.78453     9317
0.46393     6.96057     9544
0.47147     6.14033     9770
0.47903     5.31637     9997
0.48657     4.49603     10223
0.49413     3.67217     10450
0.50167     2.85183     10676
0.50923     2.02797     10903
0.51677     1.20763     11129
0.52433     0.38367     11356
0.53187     -0.43657     11582
0.53943     -1.26053     11809
0.54697     -2.08080     12035
0.55453     -2.90473     12262
0.56207     -3.72507     12488
0.56963     -4.54893     12715
0.57717     -5.36927     12941
0.58473     -6.19320     13168
0.59227     -7.01347     13394
0.59983     -7.83743     13621
0.60737     -8.65767     13847
0.61493     -9.48163     14074
0.61970     -10.00070     14219
