#     D        Lambda1     Mbol = -3.0
0.18400     85.06000     0
0.18463     84.07833     19
0.18527     83.09667     38
0.18590     82.11500     57
0.18653     81.13333     76
0.18717     80.15167     95
0.18780     79.17000     114
0.18843     78.18833     133
0.18907     77.20667     152
0.18970     76.22500     171
0.19033     75.24333     190
0.19097     74.26167     209
0.19160     73.28000     228
0.19223     72.29833     247
0.19287     71.31667     266
0.19350     70.33500     285
0.19413     69.35333     304
0.19460     68.36800     318
0.19510     67.34630     330
0.19630     66.36380     366
0.19710     65.37800     387
0.19803     64.40023     412
0.19927     63.41667     448
0.20077     62.44167     491
0.20213     61.46167     529
0.20343     60.47373     565
0.20460     59.49500     597
0.20593     58.51103     634
0.20753     57.54217     679
0.20943     56.58237     736
0.21140     55.59300     792
0.21340     54.62260     852
0.21533     53.66333     907
0.21733     52.70300     964
0.21943     51.74453     1024
0.22160     50.79240     1086
0.22367     49.83360     1145
0.22613     48.87770     1216
0.22847     47.92020     1283
0.23170     46.98090     1377
0.23347     46.01727     1430
0.23593     45.07110     1501
0.23873     44.13370     1582
0.24200     43.20560     1677
0.24563     42.29303     1783
0.24947     41.39000     1895
0.25347     40.49000     2015
0.25737     39.58950     2129
0.26133     38.69040     2245
0.26613     37.83947     2383
0.27153     37.02073     2545
0.27697     36.20950     2705
0.28230     35.39080     2862
0.28813     34.60273     3034
0.29467     33.87737     3224
0.30117     33.14403     3419
0.30830     32.47650     3630
0.31557     31.81863     3845
0.32360     31.25820     4083
0.33160     30.69600     4320
0.33990     30.17670     4566
0.34840     29.69220     4818
0.35690     29.21000     5070
0.36567     28.77383     5330
0.37457     28.36237     5597
0.38343     27.94523     5860
0.39220     27.51500     6120
0.40123     27.13793     6388
0.41047     26.80990     6662
0.41957     26.44980     6935
0.42877     26.11317     7208
0.43800     25.79240     7485
0.44723     25.47167     7762
0.45647     25.15097     8039
0.46570     24.83020     8316
0.47493     24.50947     8593
0.48417     24.18877     8870
0.49340     23.86800     9147
0.50263     23.54723     9424
0.51187     23.22653     9701
0.52110     22.90580     9978
0.53033     22.58503     10255
0.53957     22.26433     10532
0.54880     21.94360     10809
0.55803     21.62283     11086
0.56727     21.30207     11363
0.57650     20.98140     11640
0.58573     20.66063     11917
0.59497     20.33987     12194
0.60420     20.01920     12471
0.61343     19.69843     12748
0.62267     19.37767     13025
0.63190     19.05690     13302
0.64113     18.73623     13579
0.65037     18.41547     13856
0.65960     18.09470     14133
0.66883     17.77403     14410
0.67807     17.45327     14687
0.68730     17.13250     14964
0.69653     16.81177     15241
0.70000     16.69140     15347
