#     D        Lambda1     Mbol = -4.5
0.12140     85.02600     0
0.12200     83.91000     18
0.12260     82.79400     36
0.12320     81.67800     54
0.12380     80.56200     72
0.12440     79.44600     90
0.12500     78.33000     108
0.12560     77.21400     126
0.12620     76.09800     144
0.12680     74.98200     162
0.12740     73.86600     180
0.12800     72.75000     198
0.12860     71.63400     216
0.12920     70.51800     234
0.12980     69.40200     252
0.13040     68.28600     270
0.13100     67.18330     288
0.13153     66.05533     304
0.13250     64.98750     330
0.13337     63.86666     356
0.13379     62.77911     370
0.13413     61.69067     382
0.13510     60.61940     408
0.13633     59.53787     442
0.13773     58.45603     484
0.13907     57.37670     521
0.14050     56.29310     561
0.14203     55.22937     604
0.14360     54.13880     648
0.14487     53.05417     686
0.14660     51.98730     735
0.14837     50.93000     785
0.14983     49.85697     826
0.15157     48.78830     875
0.15433     47.75123     955
0.15650     46.70000     1020
0.15807     45.64017     1064
0.16047     44.58460     1133
0.16307     43.53993     1208
0.16640     42.52060     1305
0.16950     41.49500     1395
0.17270     40.47000     1488
0.17670     39.46820     1605
0.18030     38.45070     1710
0.18367     37.42657     1808
0.18780     36.43000     1929
0.19227     35.44930     2060
0.19700     34.48500     2199
0.20127     33.50250     2324
0.20640     32.56220     2475
0.21227     31.66533     2648
0.21730     30.72000     2796
0.22337     29.83130     2972
0.22953     28.95320     3154
0.23607     28.10313     3347
0.24273     27.26400     3541
0.24963     26.44100     3745
0.25613     25.58723     3940
0.26263     24.73353     4135
0.26913     23.87980     4330
0.27563     23.02603     4525
0.28213     22.17233     4720
0.28863     21.31863     4915
0.29513     20.46490     5110
0.30163     19.61113     5305
0.30813     18.75743     5500
0.31463     17.90370     5695
0.32113     17.04993     5890
0.32763     16.19623     6085
0.33413     15.34250     6280
0.34063     14.48873     6475
0.34713     13.63503     6670
0.35363     12.78130     6865
0.36013     11.92753     7060
0.36663     11.07383     7255
0.37313     10.22010     7450
0.37963     9.36633     7645
0.38613     8.51263     7840
0.39263     7.65893     8035
0.39913     6.80520     8230
0.40563     5.95143     8425
0.41213     5.09773     8620
0.41863     4.24400     8815
0.42513     3.39023     9010
0.43163     2.53653     9205
0.43813     1.68280     9400
0.44463     0.82903     9595
0.45113     -0.02467     9790
0.45763     -0.87840     9985
0.46413     -1.73217     10180
0.47063     -2.58587     10375
0.47713     -3.43960     10570
0.48363     -4.29337     10765
0.49013     -5.14707     10960
0.49663     -6.00080     11155
0.50313     -6.85450     11350
0.50963     -7.70827     11545
0.51613     -8.56197     11740
0.52263     -9.41570     11935
0.52710     -10.00240     12071
