#     D        Lambda1     Mbol = -1.0
0.31170     85.12600     0
0.31223     84.36867     16
0.31277     83.61133     32
0.31330     82.85400     48
0.31383     82.09667     64
0.31437     81.33933     80
0.31490     80.58200     96
0.31543     79.82467     112
0.31597     79.06733     128
0.31650     78.31000     144
0.31703     77.55267     160
0.31757     76.79533     176
0.31810     76.03800     192
0.31863     75.28067     208
0.31917     74.52333     224
0.31970     73.76600     240
0.32023     73.00867     256
0.32077     72.25133     272
0.32130     71.49400     288
0.32183     70.73667     304
0.32237     69.97933     320
0.32290     69.22200     336
0.32310     68.49667     346
0.32310     67.74667     355
0.32317     66.98800     365
0.32383     66.25167     385
0.32363     65.50167     404
0.32373     64.75820     418
0.32437     64.03270     437
0.32477     63.26667     449
0.32523     62.52210     460
0.32607     61.77970     485
0.32693     61.03647     508
0.32783     60.28980     533
0.32890     59.56820     564
0.33007     58.84250     596
0.33113     58.08133     626
0.33187     57.35820     644
0.33397     56.66070     707
0.33533     55.93000     745
0.33697     55.21583     791
0.33863     54.49867     841
0.34080     53.80130     903
0.34310     53.10920     969
0.34580     52.43080     1050
0.34863     51.75890     1132
0.35170     51.09670     1221
0.35497     50.44583     1316
0.35857     49.81583     1424
0.36297     49.23647     1553
0.36760     48.67950     1689
0.37253     48.14533     1834
0.37750     47.61420     1983
0.38310     47.15480     2148
0.38870     46.69120     2313
0.39427     46.22470     2480
0.40037     45.82770     2660
0.40657     45.44710     2843
0.41290     45.09500     3030
0.41953     44.79840     3229
0.42627     44.52667     3428
0.43313     44.28763     3634
0.43997     44.04967     3836
0.44683     43.81407     4039
0.45377     43.59423     4247
0.46073     43.39107     4453
0.46777     43.21363     4664
0.47477     43.01507     4871
0.48173     42.81233     5080
0.48893     42.71783     5293
0.49610     42.60940     5505
0.50320     42.46100     5718
0.51037     42.33997     5930
0.51757     42.24433     6146
0.52477     42.16573     6359
0.53200     42.09250     6576
0.53923     42.03587     6790
0.54647     42.00227     7007
0.55370     41.95960     7221
0.56093     41.91187     7438
0.56817     41.86410     7655
0.57540     41.81630     7872
0.58263     41.76857     8089
0.58987     41.72080     8306
0.59710     41.67300     8523
0.60433     41.62527     8740
0.61157     41.57750     8957
0.61880     41.52970     9174
0.62603     41.48197     9391
0.63327     41.43420     9608
0.64050     41.38640     9825
0.64773     41.33867     10042
0.65497     41.29090     10259
0.66220     41.24310     10476
0.66943     41.19537     10693
0.67667     41.14760     10910
0.68390     41.09980     11127
0.69113     41.05207     11344
0.69837     41.00430     11561
0.70000     40.99350     11612
