#     D        Lambda1     Mbol = -6.0
0.06910     85.06230     0
0.06973     83.96613     19
0.07037     82.87000     38
0.07100     81.77380     57
0.07163     80.67770     76
0.07227     79.58150     95
0.07290     78.48540     114
0.07353     77.38920     133
0.07417     76.29310     152
0.07480     75.19690     171
0.07543     74.10080     190
0.07607     73.00460     209
0.07670     71.90850     228
0.07733     70.81230     247
0.07797     69.71617     266
0.07860     68.62000     285
0.07923     67.52383     304
0.08007     66.47450     326
0.08127     65.39807     362
0.08163     64.32843     373
0.08175     63.25420     384
0.08193     62.16503     397
0.08257     61.07327     416
0.08310     60.01330     432
0.08413     58.95613     460
0.08533     57.91207     493
0.08640     56.85860     525
0.08717     55.80220     545
0.08817     54.75877     572
0.08947     53.69663     608
0.09053     52.64320     640
0.09167     51.58737     671
0.09273     50.53567     700
0.09373     49.48250     727
0.09530     48.43100     771
0.09693     47.38403     820
0.09870     46.33990     870
0.10063     45.30213     926
0.10250     44.27550     981
0.10447     43.24310     1037
0.10653     42.20943     1096
0.10867     41.18803     1160
0.11070     40.15340     1218
0.11293     39.12830     1282
0.11547     38.10637     1355
0.11797     37.09357     1427
0.12017     36.06687     1493
0.12233     35.03643     1552
0.12577     34.04253     1655
0.12840     33.02180     1731
0.13260     32.06220     1854
0.13630     31.08190     1962
0.14020     30.11380     2076
0.14460     29.16200     2205
0.14950     28.23870     2349
0.15510     27.35650     2514
0.16050     26.46150     2673
0.16643     25.59777     2848
0.17240     24.73590     3027
0.17837     23.87403     3206
0.18433     23.01220     3385
0.19030     22.15030     3564
0.19627     21.28850     3743
0.20223     20.42660     3922
0.20820     19.56480     4101
0.21417     18.70293     4280
0.22013     17.84107     4459
0.22610     16.97920     4638
0.23207     16.11740     4817
0.23803     15.25550     4996
0.24400     14.39370     5175
0.24997     13.53180     5354
0.25593     12.66997     5533
0.26190     11.80810     5712
0.26787     10.94623     5891
0.27383     10.08440     6070
0.27980     9.22260     6249
0.28577     8.36070     6428
0.29173     7.49887     6607
0.29770     6.63700     6786
0.30367     5.77513     6965
0.30963     4.91330     7144
0.31560     4.05140     7323
0.32157     3.18960     7502
0.32753     2.32777     7681
0.33350     1.46590     7860
0.33947     0.60403     8039
0.34543     -0.25780     8218
0.35140     -1.11970     8397
0.35737     -1.98150     8576
0.36333     -2.84340     8755
0.36930     -3.70520     8934
0.37527     -4.56707     9113
0.38123     -5.42893     9292
0.38720     -6.29080     9471
0.39317     -7.15260     9650
0.39913     -8.01450     9829
0.40510     -8.87630     10008
0.41107     -9.73820     10187
0.41290     -10.00300     10244
