#     D        Lambda1     Mbol = -5.5
0.08580     85.10690     0
0.08640     83.97620     18
0.08700     82.84540     36
0.08760     81.71460     54
0.08820     80.58380     72
0.08880     79.45310     90
0.08940     78.32230     108
0.09000     77.19150     126
0.09060     76.06080     144
0.09120     74.93000     162
0.09180     73.79920     180
0.09240     72.66850     198
0.09300     71.53770     216
0.09360     70.40690     234
0.09410     69.27620     252
0.09497     68.17077     275
0.09553     67.09893     292
0.09590     65.97710     306
0.09620     64.90570     324
0.09727     63.81607     356
0.09840     62.73930     387
0.09940     61.64730     414
0.10043     60.55930     445
0.10140     59.45820     471
0.10230     58.34660     495
0.10343     57.26283     529
0.10493     56.19083     571
0.10630     55.11320     609
0.10730     54.02310     636
0.10867     52.95173     676
0.11033     51.87917     721
0.11210     50.79350     771
0.11297     49.67640     796
0.11413     48.57390     827
0.11543     47.50740     865
0.11740     46.45500     921
0.11893     45.39287     964
0.12043     44.33370     1006
0.12250     43.27530     1068
0.12457     42.22263     1127
0.12697     41.17387     1196
0.13010     40.14250     1287
0.13260     39.09420     1359
0.13613     38.07653     1463
0.13820     37.02130     1521
0.14137     35.99213     1616
0.14447     34.95827     1706
0.14800     33.94340     1809
0.15210     32.94700     1929
0.15653     31.97113     2060
0.16097     30.99340     2189
0.16600     30.04350     2337
0.17127     29.11240     2495
0.17723     28.22113     2668
0.18307     27.31810     2840
0.18943     26.45340     3028
0.19610     25.61190     3228
0.20277     24.77033     3428
0.20943     23.92880     3628
0.21610     23.08730     3828
0.22277     22.24580     4028
0.22943     21.40420     4228
0.23610     20.56270     4428
0.24277     19.72120     4628
0.24943     18.87967     4828
0.25610     18.03810     5028
0.26277     17.19660     5228
0.26943     16.35507     5428
0.27610     15.51350     5628
0.28277     14.67200     5828
0.28943     13.83047     6028
0.29610     12.98890     6228
0.30277     12.14740     6428
0.30943     11.30590     6628
0.31610     10.46430     6828
0.32277     9.62280     7028
0.32943     8.78130     7228
0.33610     7.93980     7428
0.34277     7.09820     7628
0.34943     6.25670     7828
0.35610     5.41520     8028
0.36277     4.57363     8228
0.36943     3.73210     8428
0.37610     2.89060     8628
0.38277     2.04903     8828
0.38943     1.20750     9028
0.39610     0.36600     9228
0.40277     -0.47557     9428
0.40943     -1.31710     9628
0.41610     -2.15860     9828
0.42277     -3.00010     10028
0.42943     -3.84170     10228
0.43610     -4.68320     10428
0.44277     -5.52470     10628
0.44943     -6.36623     10828
0.45610     -7.20780     11028
0.46277     -8.04930     11228
0.46943     -8.89083     11428
0.47610     -9.73240     11628
0.47830     -10.01010     11696
