#     D        Lambda1     Mbol = -2.0
0.23940     85.07000     0
0.24007     84.19000     20
0.24073     83.31000     40
0.24140     82.43000     60
0.24207     81.55000     80
0.24273     80.67000     100
0.24340     79.79000     120
0.24407     78.91000     140
0.24473     78.03000     160
0.24540     77.15000     180
0.24607     76.27000     200
0.24673     75.39000     220
0.24740     74.51000     240
0.24807     73.63000     260
0.24873     72.75000     280
0.24940     71.87000     300
0.25007     70.99000     320
0.25073     70.11000     340
0.25140     69.23000     360
0.25207     68.31467     377
0.25250     67.37000     390
0.25250     66.44958     403
0.25351     65.53666     436
0.25360     64.62000     447
0.25450     63.74250     480
0.25530     62.83000     504
0.25583     61.92607     517
0.25667     61.05483     542
0.25713     60.17067     556
0.25840     59.30590     591
0.25960     58.42600     624
0.26000     57.51333     641
0.26060     56.63780     669
0.26237     55.77410     722
0.26410     54.91680     771
0.26600     54.05140     825
0.26793     53.19487     880
0.26967     52.33603     932
0.27157     51.47823     986
0.27383     50.62863     1051
0.27543     49.76667     1094
0.27843     48.93503     1180
0.28060     48.07590     1242
0.28363     47.25157     1330
0.28647     46.42110     1412
0.28973     45.60493     1507
0.29387     44.83040     1628
0.29767     44.03873     1739
0.30190     43.27000     1863
0.30633     42.51407     1993
0.31177     41.82360     2153
0.31717     41.13433     2312
0.32260     40.44750     2472
0.32857     39.80767     2648
0.33473     39.18787     2830
0.34170     38.65670     3039
0.34857     38.11387     3242
0.35560     37.58930     3450
0.36280     37.08790     3666
0.37030     36.63400     3888
0.37773     36.17347     4108
0.38517     35.71473     4328
0.39283     35.29300     4556
0.40057     34.88597     4787
0.40867     34.55567     5027
0.41690     34.25570     5271
0.42510     33.94620     5514
0.43320     33.61770     5754
0.44130     33.28460     5997
0.44970     33.04230     6246
0.45820     32.83440     6498
0.46670     32.62470     6750
0.47517     32.40107     7004
0.48360     32.16890     7254
0.49203     31.93633     7504
0.50050     31.72150     7758
0.50903     31.52870     8011
0.51760     31.35610     8268
0.52613     31.15650     8521
0.53473     30.99733     8776
0.54340     30.87690     9033
0.55207     30.75100     9293
0.56077     30.64277     9551
0.56947     30.54040     9812
0.57817     30.43800     10073
0.58687     30.33570     10334
0.59557     30.23330     10595
0.60427     30.13100     10856
0.61297     30.02860     11117
0.62167     29.92630     11378
0.63037     29.82390     11639
0.63907     29.72160     11900
0.64777     29.61920     12161
0.65647     29.51687     12422
0.66517     29.41450     12683
0.67387     29.31217     12944
0.68257     29.20980     13205
0.69127     29.10747     13466
0.69997     29.00510     13727
0.70000     29.00470     13730
