#     D        Lambda1     Mbol = -8.0
0.01260     85.16140     0
0.01320     84.13720     18
0.01380     83.11310     36
0.01440     82.08900     54
0.01500     81.06480     72
0.01560     80.04070     90
0.01620     79.01660     108
0.01680     77.99240     126
0.01740     76.96830     144
0.01800     75.94410     162
0.01860     74.92000     180
0.01920     73.89590     198
0.01980     72.87170     216
0.02040     71.84760     234
0.02100     70.82340     252
0.02160     69.79930     270
0.02223     68.82383     286
0.02317     67.78093     314
0.02353     66.79367     325
0.02420     65.78660     342
0.02500     64.78810     363
0.02577     63.77353     385
0.02634     62.73654     400
0.02684     61.75355     415
0.02720     60.69280     426
0.02783     59.70677     442
0.02850     58.72670     462
0.02887     57.74890     473
0.02963     56.74680     493
0.03050     55.76470     516
0.03170     54.77510     549
0.03287     53.78557     581
0.03363     52.79510     601
0.03480     51.80850     636
0.03527     50.79003     650
0.03643     49.79713     682
0.03773     48.82067     718
0.03897     47.83207     752
0.04000     46.85010     783
0.04137     45.86793     821
0.04287     44.88920     863
0.04440     43.90230     906
0.04567     42.91000     944
0.04707     41.92893     983
0.04853     40.95877     1024
0.04987     39.96897     1064
0.05133     39.00150     1105
0.05307     38.02440     1154
0.05510     37.03680     1212
0.05687     36.06877     1265
0.05917     35.11753     1331
0.06160     34.17080     1401
0.06413     33.22593     1474
0.06697     32.28437     1559
0.06910     31.32790     1617
0.07177     30.38053     1694
0.07513     29.46100     1795
0.07857     28.53753     1895
0.08203     27.61637     1996
0.08503     26.67930     2083
0.08797     25.73693     2171
0.09090     24.79460     2259
0.09383     23.85220     2347
0.09677     22.90980     2435
0.09970     21.96740     2523
0.10263     21.02500     2611
0.10557     20.08263     2699
0.10850     19.14030     2787
0.11143     18.19790     2875
0.11437     17.25550     2963
0.11730     16.31310     3051
0.12023     15.37070     3139
0.12317     14.42833     3227
0.12610     13.48600     3315
0.12903     12.54360     3403
0.13197     11.60120     3491
0.13490     10.65880     3579
0.13783     9.71647     3667
0.14077     8.77403     3755
0.14370     7.83170     3843
0.14663     6.88930     3931
0.14957     5.94690     4019
0.15250     5.00450     4107
0.15543     4.06217     4195
0.15837     3.11980     4283
0.16130     2.17740     4371
0.16423     1.23500     4459
0.16717     0.29260     4547
0.17010     -0.64980     4635
0.17303     -1.59213     4723
0.17597     -2.53450     4811
0.17890     -3.47690     4899
0.18183     -4.41930     4987
0.18477     -5.36170     5075
0.18770     -6.30410     5163
0.19063     -7.24643     5251
0.19357     -8.18880     5339
0.19650     -9.13120     5427
0.19930     -10.03080     5513
