#     D        Lambda1     Mbol = -1.5
0.28500     70.37000     0
0.28500     71.70333     16
0.28500     73.03667     32
0.28500     74.37000     48
0.28500     75.70333     64
0.28500     77.03667     80
0.28500     78.37000     96
0.28500     79.70333     112
0.28500     81.03667     128
0.28500     82.37000     144
0.28500     83.70333     160
0.28500     85.03667     176
0.28500     83.78026     196
0.28500     82.48859     209
0.28500     81.19692     222
0.28500     79.90525     235
0.28500     78.61359     248
0.28500     77.32192     261
0.28500     76.03026     274
0.28500     74.73859     287
0.28500     73.44693     300
0.28500     72.15526     313
0.28500     70.86359     326
0.28500     72.12490     359
0.28500     73.39941     372
0.28500     74.67392     385
0.28500     75.94843     398
0.28500     77.22294     411
0.28500     78.49745     424
0.28500     79.77196     437
0.28500     81.04647     450
0.28500     82.32098     463
0.28500     83.59549     476
0.28500     84.87000     489
0.28500     83.53667     505
0.28500     82.20333     521
0.28500     80.87000     537
0.28500     79.53667     553
0.28500     78.20333     569
0.28500     76.87000     585
0.28500     75.53667     601
0.28500     74.20333     617
0.28500     72.87000     633
0.28500     71.53667     649
0.28500     70.20333     665
0.28500     68.87000     681
0.28503     67.55890     700
0.28550     66.26438     722
0.28627     65.00607     752
0.28660     63.74667     772
0.28707     62.47400     790
0.28817     61.16942     821
0.28880     59.87600     837
0.29023     58.60543     877
0.29260     57.35000     942
0.29440     56.08960     993
0.29677     54.82667     1063
0.29873     53.58000     1117
0.30133     52.34940     1192
0.30470     51.13210     1290
0.30820     49.92540     1392
0.31213     48.72580     1504
0.31770     47.59560     1668
0.32357     46.48350     1841
0.33023     45.41733     2035
0.33800     44.42460     2265
0.34627     43.47320     2510
0.35553     42.62180     2782
0.36527     41.82110     3071
0.37577     41.12723     3383
0.38677     40.51320     3710
0.39757     39.86507     4031
0.40867     39.27563     4361
0.42043     38.82493     4709
0.43217     38.36963     5057
0.44383     37.90117     5404
0.45590     37.54750     5763
0.46807     37.22677     6125
0.48013     36.87460     6484
0.49237     36.58040     6848
0.50480     36.38380     7218
0.51727     36.21053     7589
0.52973     36.03613     7960
0.54220     35.87640     8331
0.55473     35.76180     8704
0.56717     35.57450     9077
0.57960     35.38710     9450
0.59203     35.19980     9823
0.60447     35.01240     10196
0.61690     34.82510     10569
0.62933     34.63770     10942
0.64177     34.45040     11315
0.65420     34.26300     11688
0.66663     34.07570     12061
0.67907     33.88830     12434
0.69150     33.70100     12807
0.70000     33.57290     13064
