#     D        Lambda1     Mbol = -2.5
0.20970     85.10330     0
0.21033     84.17443     19
0.21097     83.24557     38
0.21160     82.31670     57
0.21223     81.38780     76
0.21287     80.45890     95
0.21350     79.53000     114
0.21413     78.60110     133
0.21477     77.67220     152
0.21540     76.74330     171
0.21603     75.81443     190
0.21667     74.88557     209
0.21730     73.95670     228
0.21793     73.02780     247
0.21857     72.09890     266
0.21920     71.17000     285
0.21983     70.24110     304
0.22047     69.31220     323
0.22110     68.35800     339
0.22170     67.44000     357
0.22270     66.52130     384
0.22363     65.57000     409
0.22440     64.65000     432
0.22497     63.71583     445
0.22593     62.78543     472
0.22700     61.86730     501
0.22843     60.94270     541
0.23000     60.02380     585
0.23137     59.09270     626
0.23273     58.16803     664
0.23400     57.24910     699
0.23560     56.33640     744
0.23700     55.41430     783
0.23813     54.49683     817
0.24023     53.59333     877
0.24277     52.70667     953
0.24450     51.78730     1002
0.24660     50.88730     1062
0.24893     49.98827     1129
0.25120     49.08850     1197
0.25300     48.17500     1248
0.25513     47.27260     1309
0.25777     46.37950     1385
0.26020     45.49300     1455
0.26327     44.61950     1547
0.26667     43.76400     1646
0.27037     42.91543     1754
0.27410     42.07310     1863
0.27843     41.25827     1990
0.28333     40.47443     2134
0.28780     39.67000     2265
0.29243     38.87480     2401
0.29823     38.16163     2572
0.30440     37.48000     2754
0.31047     36.78530     2933
0.31700     36.13820     3126
0.32353     35.48667     3319
0.33050     34.88360     3525
0.33773     34.31127     3739
0.34523     33.77733     3961
0.35303     33.29180     4193
0.36087     32.80877     4424
0.36870     32.32470     4659
0.37683     31.88993     4897
0.38517     31.50397     5147
0.39363     31.14280     5398
0.40177     30.71543     5639
0.41020     30.34380     5889
0.41890     30.04670     6147
0.42753     29.72477     6403
0.43607     29.38003     6659
0.44483     29.10270     6919
0.45357     28.81177     7178
0.46237     28.53787     7439
0.47127     28.30583     7703
0.48020     28.08250     7971
0.48917     27.86780     8237
0.49817     27.66570     8504
0.50717     27.46467     8771
0.51613     27.25913     9037
0.52510     27.04770     9306
0.53407     26.84883     9572
0.54313     26.67977     9841
0.55227     26.55340     10112
0.56137     26.42507     10385
0.57047     26.29677     10658
0.57957     26.16840     10931
0.58867     26.04007     11204
0.59777     25.91177     11477
0.60687     25.78340     11750
0.61597     25.65507     12023
0.62507     25.52677     12296
0.63417     25.39840     12569
0.64327     25.27007     12842
0.65237     25.14177     13115
0.66147     25.01340     13388
0.67057     24.88507     13661
0.67967     24.75677     13934
0.68877     24.62840     14207
0.69787     24.50007     14480
0.70000     24.47000     14546
