#     D        Lambda1     Mbol = -7.0
0.04220     85.10180     0
0.04260     84.02730     12
0.04300     82.95270     24
0.04340     81.87820     36
0.04380     80.80370     48
0.04420     79.72920     60
0.04460     78.65470     72
0.04500     77.58020     84
0.04540     76.50570     96
0.04580     75.43120     108
0.04620     74.35670     120
0.04660     73.28220     132
0.04700     72.20760     144
0.04740     71.13310     156
0.04780     70.05860     168
0.04820     68.98410     180
0.04873     67.96857     193
0.04947     66.93747     214
0.05013     65.90393     232
0.05070     64.89410     249
0.05120     63.89660     261
0.05187     62.90290     281
0.05206     61.82626     295
0.05240     60.79780     312
0.05333     59.78337     340
0.05413     58.78913     361
0.05490     57.73000     381
0.05557     56.73000     401
0.05660     55.73940     429
0.05780     54.73840     465
0.05917     53.72957     503
0.06050     52.72610     540
0.06177     51.69427     577
0.06287     50.68853     608
0.06400     49.67850     639
0.06547     48.68283     683
0.06687     47.68613     722
0.06823     46.68647     760
0.06960     45.69670     801
0.07107     44.69733     842
0.07263     43.71233     887
0.07420     42.71900     933
0.07577     41.73427     977
0.07750     40.75020     1026
0.07937     39.75733     1082
0.08127     38.76807     1136
0.08333     37.78240     1195
0.08563     36.81010     1264
0.08800     35.83600     1332
0.09047     34.86967     1403
0.09300     33.90000     1476
0.09553     32.93207     1549
0.09873     31.98657     1642
0.10190     31.03230     1734
0.10457     30.07090     1814
0.10830     29.14590     1923
0.11193     28.21557     2029
0.11523     27.26917     2125
0.11933     26.35457     2248
0.12343     25.43997     2371
0.12753     24.52537     2494
0.13163     23.61073     2617
0.13573     22.69607     2740
0.13983     21.78147     2863
0.14393     20.86687     2986
0.14803     19.95227     3109
0.15213     19.03767     3232
0.15623     18.12307     3355
0.16033     17.20837     3478
0.16443     16.29377     3601
0.16853     15.37917     3724
0.17263     14.46457     3847
0.17673     13.54997     3970
0.18083     12.63537     4093
0.18493     11.72073     4216
0.18903     10.80607     4339
0.19313     9.89147     4462
0.19723     8.97687     4585
0.20133     8.06227     4708
0.20543     7.14767     4831
0.20953     6.23307     4954
0.21363     5.31837     5077
0.21773     4.40377     5200
0.22183     3.48917     5323
0.22593     2.57457     5446
0.23003     1.65997     5569
0.23413     0.74537     5692
0.23823     -0.16927     5815
0.24233     -1.08393     5938
0.24643     -1.99853     6061
0.25053     -2.91313     6184
0.25463     -3.82773     6307
0.25873     -4.74233     6430
0.26283     -5.65693     6553
0.26693     -6.57163     6676
0.27103     -7.48623     6799
0.27513     -8.40083     6922
0.27923     -9.31543     7045
0.28240     -10.02180     7142
