#      D        Lambda      PHIo= 1.12
0.18680     -10.00780     0
0.19540     -9.29340     256
0.20400     -8.57910     514
0.21260     -7.86470     772
0.22120     -7.15040     1030
0.22980     -6.43600     1288
0.23840     -5.72170     1546
0.24700     -5.00730     1804
0.25560     -4.29300     2062
0.26420     -3.57860     2320
0.27297     -2.88180     2580
0.28280     -2.34790     2872
0.29237     -1.76907     3156
0.30187     -1.17587     3438
0.31137     -0.58290     3720
0.32047     0.06693     3990
0.33047     0.56943     4290
0.34003     1.14900     4574
0.34950     1.74320     4855
0.35903     2.33217     5138
0.36867     2.90150     5427
0.37833     3.46547     5714
0.38783     4.05630     5996
0.39717     4.67020     6273
0.40637     5.30680     6549
0.41470     6.05210     6796
0.42280     6.82250     7036
0.43107     7.57783     7281
0.43933     8.33277     7526
0.44737     9.12137     7766
0.45547     9.89380     8007
0.46237     10.77603     8211
0.46903     11.67690     8408
0.47590     12.55860     8614
0.48263     13.45143     8813
0.48950     14.33610     9016
0.49553     15.28167     9194
0.50103     16.25817     9356
0.50687     17.21273     9531
0.51230     18.18970     9691
0.51740     19.19040     9844
0.52273     20.17947     10001
0.52710     21.21500     10129
0.53123     22.25937     10250
0.53527     23.30957     10368
0.53883     24.37383     10475
0.54200     25.46150     10567
0.54417     26.56677     10629
0.54583     27.68857     10679
0.54760     28.80330     10729
0.54930     29.97110     10777
0.55013     31.14167     10802
0.55067     32.30830     10818
0.55117     33.48000     10833
0.55163     34.60000     10847
0.55103     35.75257     10872
0.55040     36.92500     10891
0.54980     38.09450     10909
0.54913     39.22707     10928
0.54823     40.37017     10952
0.54673     41.47923     10995
0.54517     42.60003     11042
0.54360     43.72080     11089
0.54203     44.84157     11136
0.54047     45.96233     11183
0.53890     47.08310     11230
0.53733     48.20387     11277
0.53577     49.32463     11324
0.53420     50.44540     11371
0.53263     51.56617     11418
0.53107     52.68693     11465
0.52950     53.80770     11512
0.52793     54.92847     11559
0.52637     56.04923     11606
0.52480     57.17000     11653
0.52323     58.29077     11700
0.52167     59.41153     11747
0.52010     60.53230     11794
0.51853     61.65307     11841
0.51697     62.77383     11888
0.51540     63.89460     11935
0.51383     65.01537     11982
0.51227     66.13617     12029
0.51070     67.25690     12076
0.50913     68.37767     12123
0.50757     69.49847     12170
0.50600     70.61920     12217
0.50443     71.74003     12264
0.50287     72.86077     12311
0.50130     73.98150     12358
0.49973     75.10233     12405
0.49817     76.22307     12452
0.49660     77.34390     12499
0.49503     78.46463     12546
0.49347     79.58537     12593
0.49190     80.70620     12640
0.49033     81.82693     12687
0.48877     82.94773     12734
0.48720     84.06850     12781
0.48580     85.07000     12825
