#      D        Lambda      PHIo= 0.70
0.00010     18.61700     0
0.00413     19.18670     119
0.00817     19.75630     240
0.01220     20.32590     361
0.01623     20.89553     482
0.02027     21.46520     603
0.02430     22.03480     724
0.02833     22.60440     845
0.03237     23.17407     966
0.03640     23.74370     1087
0.04017     24.33803     1197
0.04377     24.94100     1305
0.04753     25.52877     1415
0.05133     26.11967     1529
0.05523     26.70387     1643
0.05913     27.28457     1760
0.06280     27.88400     1867
0.06607     28.50663     1965
0.06940     29.12420     2062
0.07297     29.72913     2169
0.07653     30.34063     2274
0.07930     30.98890     2356
0.08207     31.63827     2439
0.08483     32.28587     2519
0.08760     32.93160     2602
0.09037     33.58037     2682
0.09310     34.22350     2764
0.09563     34.87640     2837
0.09807     35.53460     2910
0.10047     36.19727     2979
0.10263     36.86770     3044
0.10480     37.53820     3109
0.10690     38.21440     3169
0.10897     38.89070     3231
0.11103     39.56517     3290
0.11310     40.23830     3352
0.11437     40.92997     3387
0.11553     41.62097     3422
0.11690     42.31200     3460
0.11837     43.00340     3504
0.11973     43.70310     3542
0.12080     44.39440     3574
0.12187     45.08580     3606
0.12287     45.79460     3633
0.12387     46.51450     3662
0.12510     47.22010     3697
0.12633     47.92353     3734
0.12730     48.61500     3760
0.12823     49.31500     3788
0.12917     50.01500     3816
0.13010     50.71500     3844
0.13097     51.42800     3870
0.13137     52.13400     3882
0.13183     52.89533     3894
0.13247     53.62453     3912
0.13310     54.34930     3931
0.13370     55.09800     3946
0.13420     55.84240     3961
0.13460     56.54000     3973
0.13497     57.29370     3984
0.13540     57.98960     4315
0.13540     58.68683     25232
0.13543     59.39880     42432
0.13570     60.13870     42442
0.13603     60.90957     42452
0.13620     61.60660     58741
0.13620     62.30383     79658
0.13620     63.00107     100575
0.13620     63.69830     121492
0.13620     64.39553     142409
0.13620     65.09277     163326
0.13620     65.79000     184243
0.13590     66.51380     192352
0.13553     67.27003     192363
0.13517     67.99110     192374
0.13477     68.72443     192386
0.13437     69.44797     192398
0.13393     70.19277     192411
0.13350     70.92820     192424
0.13307     71.63040     192437
0.13263     72.34630     192450
0.13227     73.07630     192461
0.13190     73.83000     192472
0.13153     74.58370     192483
0.13117     75.33740     192494
0.13080     76.09110     192505
0.13043     76.84480     192516
0.13007     77.59853     192527
0.12970     78.35220     192538
0.12933     79.10590     192549
0.12897     79.85963     192560
0.12860     80.61330     192571
0.12823     81.36707     192582
0.12787     82.12073     192593
0.12750     82.87440     192604
0.12713     83.62817     192615
0.12677     84.38183     192626
0.12640     85.13560     192637
0.12640     85.13560     192639
