#      D        Lambda      PHIo= 0.72
0.00000     10.93400     0
0.00447     11.58843     132
0.00893     12.24287     266
0.01340     12.89730     400
0.01787     13.55173     534
0.02233     14.20617     668
0.02680     14.86060     802
0.03127     15.51503     936
0.03573     16.16947     1070
0.04020     16.82390     1204
0.04467     17.47833     1338
0.04913     18.13277     1472
0.05360     18.78720     1606
0.05807     19.44163     1740
0.06253     20.09607     1874
0.06720     20.73930     2011
0.07187     21.38310     2148
0.07633     22.03937     2282
0.08080     22.69560     2416
0.08540     23.34020     2551
0.09000     23.98710     2686
0.09447     24.64160     2820
0.09877     25.30960     2946
0.10290     25.98900     3070
0.10700     26.67140     3190
0.11103     27.35553     3311
0.11503     28.04457     3428
0.11897     28.73573     3546
0.12297     29.42233     3663
0.12700     30.10650     3784
0.13053     30.81613     3887
0.13387     31.53907     3987
0.13727     32.25740     4086
0.14073     32.97550     4190
0.14413     33.69090     4289
0.14750     34.40870     4390
0.15060     35.13960     4480
0.15350     35.88130     4564
0.15590     36.64000     4636
0.15830     37.39870     4708
0.16077     38.15803     4779
0.16327     38.91937     4854
0.16560     39.68000     4921
0.16793     40.46873     4989
0.16947     41.25900     5034
0.17103     42.03860     5078
0.17270     42.82430     5128
0.17437     43.60867     5175
0.17603     44.38963     5225
0.17760     45.17890     5269
0.17867     45.97297     5301
0.17990     46.76040     5335
0.18130     47.54120     5377
0.18250     48.32560     5410
0.18360     49.12000     5443
0.18460     49.95000     5473
0.18507     50.79000     5487
0.18541     51.66833     5499
0.18561     52.51625     5510
0.18583     53.32667     5521
0.18607     54.14333     5534
0.18630     54.93430     15271
0.18630     55.72563     39011
0.18630     56.51697     62751
0.18630     57.30830     86491
0.18630     58.09963     110231
0.18630     58.89097     133971
0.18630     59.68230     157711
0.18630     60.47363     181451
0.18600     61.29780     197254
0.18547     62.09183     197270
0.18503     62.89003     197283
0.18463     63.71503     197295
0.18340     64.52560     197326
0.18303     65.32410     197337
0.18260     66.13000     197347
0.18160     66.93000     197377
0.18063     67.71747     197403
0.17970     68.51350     197431
0.17873     69.31333     197457
0.17773     70.11333     197487
0.17673     70.90550     197514
0.17573     71.69413     197543
0.17473     72.49333     197571
0.17373     73.29333     197601
0.17273     74.09333     197631
0.17173     74.89333     197661
0.17073     75.69333     197691
0.16973     76.49333     197721
0.16873     77.29333     197751
0.16773     78.09333     197781
0.16673     78.89333     197811
0.16573     79.69333     197841
0.16473     80.49333     197871
0.16373     81.29333     197901
0.16273     82.09333     197931
0.16173     82.89333     197961
0.16073     83.69333     197991
0.15973     84.49333     198021
0.15910     85.00000     198042
