#      D        Lambda      PHIo= 0.76
0.00010     2.18010     0
0.00560     2.90980     163
0.01110     3.63950     328
0.01660     4.36910     493
0.02210     5.09880     658
0.02760     5.82850     823
0.03310     6.55810     988
0.03860     7.28780     1153
0.04410     8.01750     1318
0.04960     8.74720     1483
0.05510     9.47680     1648
0.06060     10.20650     1813
0.06610     10.93620     1978
0.07160     11.66580     2143
0.07710     12.39550     2308
0.08260     13.12520     2473
0.08810     13.85490     2638
0.09353     14.58893     2804
0.09903     15.32017     2966
0.10447     16.05543     3126
0.10970     16.80400     3283
0.11493     17.55073     3437
0.12020     18.30230     3592
0.12530     19.05940     3745
0.13040     19.81560     3895
0.13553     20.57100     4049
0.14127     21.28337     4218
0.14717     21.98017     4395
0.15143     22.79080     4520
0.15600     23.58030     4654
0.16123     24.32887     4811
0.16637     25.08597     4962
0.17147     25.84307     5115
0.17620     26.62910     5254
0.18090     27.41700     5395
0.18567     28.19540     5535
0.19040     28.98140     5674
0.19480     29.78330     5806
0.19870     30.61200     5920
0.20253     31.44173     6032
0.20653     32.26457     6152
0.21047     33.09260     6267
0.21430     33.92110     6382
0.21790     34.76500     6487
0.22137     35.61110     6588
0.22433     36.47310     6677
0.22743     37.33490     6767
0.23073     38.18530     6866
0.23377     39.04753     6954
0.23677     39.93083     7043
0.23893     40.81830     7106
0.24107     41.71933     7167
0.24310     42.61400     7228
0.24487     43.52273     7278
0.24650     44.44110     7324
0.24800     45.35220     7369
0.24950     46.25830     7411
0.25103     47.17237     7457
0.25230     48.09970     7492
0.25337     49.01820     7524
0.25393     49.96000     7538
0.25430     50.87057     20463
0.25430     51.78187     47802
0.25430     52.69317     75141
0.25430     53.60447     102480
0.25430     54.51577     129819
0.25410     55.43320     152455
0.25323     56.37640     152481
0.25237     57.28807     152504
0.25137     58.20473     152534
0.25037     59.11950     152561
0.24937     60.03130     152591
0.24810     60.93570     152626
0.24670     61.84320     152668
0.24553     62.76177     152700
0.24440     63.66870     152731
0.24297     64.57827     152774
0.24143     65.48890     152817
0.23973     66.39553     152868
0.23803     67.29970     152916
0.23633     68.20317     152967
0.23487     69.11363     153008
0.23277     70.01013     153068
0.22990     70.88070     153154
0.22703     71.75137     153240
0.22417     72.62200     153326
0.22130     73.49260     153412
0.21843     74.36320     153498
0.21557     75.23383     153584
0.21270     76.10440     153670
0.20983     76.97507     153756
0.20697     77.84570     153842
0.20410     78.71630     153928
0.20123     79.58690     154014
0.19837     80.45753     154100
0.19550     81.32810     154186
0.19263     82.19877     154272
0.18977     83.06940     154358
0.18690     83.94000     154444
0.18403     84.81060     154530
0.18340     85.00300     154551
