#      D        Lambda      PHIo= 0.80
0.00000     -2.61730     0
0.00690     -1.88460     205
0.01380     -1.15200     412
0.02070     -0.41930     619
0.02760     0.31340     826
0.03450     1.04610     1033
0.04140     1.77880     1240
0.04830     2.51140     1447
0.05520     3.24410     1654
0.06210     3.97680     1861
0.06900     4.70950     2068
0.07590     5.44220     2275
0.08280     6.17480     2482
0.08970     6.90750     2689
0.09660     7.64020     2896
0.10350     8.37290     3103
0.11040     9.10560     3310
0.11730     9.83820     3517
0.12420     10.57090     3724
0.13097     11.31327     3924
0.13747     12.07837     4119
0.14433     12.81290     4322
0.15123     13.54323     4526
0.15810     14.27520     4729
0.16493     15.01060     4934
0.17153     15.76740     5129
0.17820     16.52130     5326
0.18503     17.25670     5531
0.19160     18.01720     5725
0.19827     18.76727     5922
0.20507     19.50550     6126
0.21130     20.29350     6310
0.21750     21.08580     6493
0.22367     21.88237     6678
0.22983     22.67487     6860
0.23613     23.45647     7046
0.24260     24.22440     7240
0.24807     25.06443     7401
0.25353     25.90620     7562
0.25907     26.74880     7728
0.26380     27.63400     7867
0.26877     28.51007     8013
0.27417     29.35767     8175
0.27903     30.23637     8318
0.28360     31.13330     8452
0.28753     32.06177     8570
0.29167     32.98133     8691
0.29583     33.89993     8813
0.29950     34.84160     8923
0.30307     35.78483     9027
0.30660     36.72370     9133
0.30960     37.68090     9220
0.31270     38.64190     9310
0.31593     39.59670     9404
0.31830     40.57710     9475
0.32017     41.57650     9528
0.32170     42.57040     9574
0.32383     43.55067     9635
0.32570     44.56820     9688
0.32663     45.58937     9716
0.32720     46.58973     24422
0.32737     47.64850     40641
0.32790     48.68550     40657
0.32810     49.68727     64878
0.32780     50.71120     90172
0.32670     51.70770     90205
0.32543     52.71520     90240
0.32410     53.71150     90277
0.32277     54.71663     90317
0.32130     55.71440     90358
0.31957     56.70953     90410
0.31833     57.70510     90444
0.31617     58.68963     90506
0.31407     59.67463     90566
0.31183     60.65623     90630
0.30907     61.63083     90713
0.30677     62.61067     90779
0.30447     63.59333     90845
0.30203     64.56667     90918
0.29903     65.52437     91005
0.29580     66.48480     91099
0.29293     67.44957     91185
0.29007     68.41430     91271
0.28720     69.37900     91357
0.28433     70.34377     91443
0.28147     71.30853     91529
0.27860     72.27330     91615
0.27573     73.23800     91701
0.27287     74.20273     91787
0.27000     75.16750     91873
0.26713     76.13227     91959
0.26427     77.09700     92045
0.26140     78.06170     92131
0.25853     79.02647     92217
0.25567     79.99123     92303
0.25280     80.95600     92389
0.24993     81.92070     92475
0.24707     82.88543     92561
0.24420     83.85020     92647
0.24133     84.81497     92733
0.24070     85.02810     92754
