#      D        Lambda      PHIo= 0.69
0.00000     22.25000     0
0.00310     22.87000     91
0.00620     23.49000     184
0.00930     24.11000     277
0.01240     24.73000     370
0.01550     25.35000     463
0.01860     25.97000     556
0.02170     26.59000     649
0.02480     27.21000     742
0.02857     27.79273     852
0.03250     28.36410     970
0.03643     28.93543     1088
0.04037     29.50677     1206
0.04423     30.08667     1319
0.04733     30.70667     1412
0.05043     31.32720     1502
0.05353     31.95120     1595
0.05663     32.57683     1685
0.05967     33.19907     1776
0.06273     33.82813     1868
0.06540     34.47020     1945
0.06800     35.11740     2023
0.07047     35.76843     2094
0.07207     36.45333     2142
0.07380     37.12780     2191
0.07570     37.79860     2248
0.07757     38.47030     2301
0.07927     39.14800     2352
0.08097     39.82563     2403
0.08270     40.49830     2452
0.08447     41.17083     2505
0.08593     41.85153     2546
0.08720     42.54510     2584
0.08860     43.22690     2623
0.09017     43.91230     2670
0.09163     44.60520     2711
0.09277     45.30580     2745
0.09390     46.00650     2779
0.09500     46.69780     2809
0.09600     47.39670     2839
0.09697     48.09393     2865
0.09790     48.80450     2893
0.09873     49.51293     2915
0.09947     50.22473     2937
0.10020     50.93670     2956
0.10093     51.64960     2978
0.10167     52.36260     3000
0.10217     53.08600     3012
0.10257     53.80600     3024
0.10297     54.50370     3036
0.10340     55.25000     3049
0.10383     55.96533     3062
0.10427     56.65867     3075
0.10470     57.35200     3088
0.10513     58.04533     3101
0.10567     58.77047     3114
0.10627     59.46227     3132
0.10687     60.15407     3150
0.10710     60.84583     19295
0.10710     61.53797     40059
0.10710     62.23013     60824
0.10710     62.92227     81588
0.10710     63.61443     102353
0.10740     64.35780     104932
0.10777     65.11147     104943
0.10780     65.86000     104953
0.10737     66.60630     104966
0.10700     67.29747     111930
0.10700     67.98963     132695
0.10700     68.68177     153459
0.10700     69.37393     174224
0.10700     70.06607     194988
0.10700     70.75823     215753
0.10700     71.45037     236517
0.10694     72.19382     244914
0.10681     72.95121     244923
0.10667     73.64687     244932
0.10651     74.34250     244941
0.10637     75.03810     244950
0.10673     74.27267     244970
0.10703     73.50017     244979
0.10673     74.27267     244992
0.10643     75.04517     245001
0.10613     75.81767     245010
0.10583     76.59017     245019
0.10553     77.36267     245028
0.10523     78.13517     245037
0.10493     78.90767     245046
0.10463     79.68017     245055
0.10433     80.45267     245064
0.10403     81.22517     245073
0.10373     81.99767     245082
0.10343     82.77017     245091
0.10313     83.54267     245100
0.10283     84.31517     245109
0.10253     85.08767     245118
0.10250     85.17350     245121
