#      D        Lambda      PHIo= 0.86
0.00000     -4.80150     0
0.00867     -4.09143     258
0.01733     -3.38137     518
0.02600     -2.67130     778
0.03467     -1.96123     1038
0.04333     -1.25117     1298
0.05200     -0.54110     1558
0.06067     0.16897     1818
0.06933     0.87903     2078
0.07800     1.58910     2338
0.08667     2.29927     2598
0.09533     3.00933     2858
0.10400     3.71940     3118
0.11267     4.42947     3378
0.12133     5.13953     3638
0.13000     5.84960     3898
0.13867     6.55967     4158
0.14733     7.26973     4418
0.15603     7.97380     4676
0.16483     8.66887     4937
0.17343     9.38970     5195
0.18210     10.09810     5452
0.19067     10.81807     5706
0.19900     11.57100     5956
0.20700     12.35500     6193
0.21533     13.10570     6440
0.22373     13.84600     6689
0.23197     14.60590     6933
0.23960     15.42490     7162
0.24750     16.22000     7396
0.25537     17.02070     7629
0.26307     17.83690     7857
0.27070     18.66050     8086
0.27860     19.45360     8320
0.28623     20.27657     8546
0.29347     21.13513     8760
0.30037     22.01913     8967
0.30757     22.87947     9180
0.31480     23.73540     9394
0.32177     24.61193     9600
0.32837     25.51683     9798
0.33430     26.46940     9973
0.34027     27.42330     10149
0.34630     28.37100     10327
0.35270     29.29460     10519
0.35787     30.29047     10671
0.36283     31.29727     10817
0.36783     32.29853     10964
0.37293     33.29923     11117
0.37723     34.33247     11243
0.38100     35.39270     11353
0.38407     36.47303     11445
0.38677     37.56453     11523
0.38963     38.65720     11606
0.39250     39.75380     11689
0.39427     40.87497     11742
0.39517     42.00557     11769
0.39590     43.14590     11788
0.39690     44.29880     11818
0.39677     45.42963     11849
0.39607     46.57753     11870
0.39560     47.69570     22738
0.39560     48.81487     56313
0.39460     49.95220     61300
0.39327     51.08320     61337
0.39157     52.20907     61388
0.38987     53.33490     61439
0.38810     54.45700     61654
0.38637     55.57430     61703
0.38403     56.67430     61773
0.38160     57.76800     61843
0.37910     58.87000     61915
0.37663     59.96237     61989
0.37363     61.04937     62076
0.37067     62.13217     62162
0.36777     63.22167     62246
0.36467     64.30667     62339
0.36130     65.38060     62437
0.35777     66.45300     62540
0.35403     67.51090     62649
0.35050     68.58250     62755
0.34663     69.63683     62868
0.34213     70.66183     63003
0.33763     71.68683     63138
0.33313     72.71183     63273
0.32863     73.73683     63408
0.32413     74.76183     63543
0.31963     75.78683     63678
0.31513     76.81183     63813
0.31063     77.83683     63948
0.30613     78.86183     64083
0.30163     79.88683     64218
0.29713     80.91183     64353
0.29263     81.93683     64488
0.28813     82.96183     64623
0.28363     83.98683     64758
0.27913     85.01183     64893
0.27910     85.01940     64896
