#      D        Lambda      PHIo= 0.68
0.00010     28.28220     0
0.00297     28.78813     84
0.00587     29.30003     171
0.00877     29.81190     258
0.01160     30.32260     340
0.01437     30.83937     423
0.01713     31.35613     503
0.01997     31.86707     585
0.02310     32.35960     679
0.02583     32.88137     758
0.02817     33.42647     827
0.03047     33.96380     894
0.03273     34.50770     959
0.03493     35.05083     1025
0.03713     35.59393     1091
0.03933     36.13703     1157
0.04160     36.67830     1222
0.04380     37.21740     1285
0.04583     37.76917     1344
0.04813     38.31167     1412
0.05033     38.85943     1475
0.05243     39.40987     1538
0.05433     39.96103     1592
0.05557     40.53773     1626
0.05673     41.11447     1661
0.05790     41.69120     1696
0.05907     42.26783     1731
0.06023     42.84457     1766
0.06140     43.42120     1801
0.06253     44.03860     1833
0.06317     44.63437     1851
0.06380     45.23150     1870
0.06457     45.80903     1890
0.06557     46.39537     1920
0.06657     46.98167     1950
0.06757     47.56807     1980
0.06857     48.15437     2010
0.06953     48.78773     2037
0.07003     49.36733     2051
0.07057     49.96230     2064
0.07113     50.56113     2081
0.07170     51.16000     2098
0.07230     51.75210     2113
0.07297     52.33543     2133
0.07363     52.91877     2153
0.07423     53.51743     2168
0.07480     54.11650     2185
0.07537     54.71557     2202
0.07583     55.32727     2213
0.07623     55.93637     2225
0.07660     56.52830     2236
0.07693     57.11550     2246
0.07727     57.70260     2256
0.07763     58.31163     2267
0.07800     58.91160     2278
0.07836     59.53048     2289
0.07870     60.11720     2299
0.07903     60.73955     2309
0.07923     61.33777     2316
0.07940     61.98010     2326
0.07957     62.64347     2335
0.07971     63.27231     2342
0.07985     63.85565     2350
0.08006     64.43957     2358
0.08077     65.02310     2379
0.08153     65.61013     2402
0.08180     66.19117     16008
0.08180     66.77283     33458
0.08180     67.35450     50908
0.08180     67.93617     68358
0.08180     68.51783     85808
0.08180     69.09950     103258
0.08180     69.68117     120708
0.08180     70.26283     138158
0.08180     70.84450     155608
0.08180     71.42617     173058
0.08180     72.00783     190508
0.08180     72.58950     207958
0.08180     73.17117     225408
0.08180     73.75283     242858
0.08180     74.33450     260308
0.08180     74.91617     277758
0.08180     75.49783     295208
0.08180     76.07950     312658
0.08180     76.66117     330108
0.08180     77.24283     347558
0.08180     77.82450     365008
0.08180     78.40617     382458
0.08180     78.98783     399908
0.08180     79.56950     417358
0.08180     80.15117     434808
0.08180     80.73283     452258
0.08180     81.31450     469708
0.08180     81.89617     487158
0.08180     82.47783     504608
0.08180     83.05950     522058
0.08180     83.64117     539508
0.08180     84.22283     556958
0.08180     84.80450     574408
0.08180     85.00010     580278
