#      D       Lambda1     Log(g) = 3.2
0.00000     57.23070     0
0.00583     56.72530     175
0.01167     56.21987     350
0.01750     55.71440     525
0.02333     55.20893     700
0.02917     54.70350     875
0.03500     54.19810     1050
0.04083     53.69260     1225
0.04667     53.18720     1400
0.05250     52.68170     1575
0.05833     52.17630     1750
0.06417     51.67087     1925
0.07000     51.16540     2100
0.07577     50.65063     2270
0.08140     50.12250     2436
0.08703     49.59437     2605
0.09283     49.08300     2776
0.09857     48.56280     2945
0.10447     48.06567     3119
0.11050     47.58420     3297
0.11647     47.08947     3473
0.12237     46.58150     3649
0.12847     46.10850     3830
0.13460     45.63960     4011
0.14067     45.16033     4190
0.14680     44.68810     4371
0.15347     44.29507     4571
0.15990     43.86860     4761
0.16627     43.43137     4949
0.17263     42.99543     5140
0.17913     42.57880     5332
0.18577     42.18080     5531
0.19257     41.81427     5732
0.19937     41.44720     5933
0.20613     41.07177     6133
0.21323     40.76537     6346
0.22030     40.45040     6555
0.22733     40.13290     6763
0.23437     39.81260     6974
0.24160     39.54330     7188
0.24903     39.33697     7408
0.25657     39.17460     7634
0.26417     39.03260     7859
0.27173     38.87307     8083
0.27937     38.74410     8309
0.28703     38.64767     8536
0.29460     38.49110     8760
0.30230     38.44610     8991
0.31000     38.40110     9222
0.31773     38.39447     9451
0.32547     38.39000     9680
0.33320     38.39000     9912
0.34093     38.39000     10141
0.34867     38.39000     10373
0.35633     38.49407     10600
0.36400     38.58220     10827
0.37170     38.65580     11058
0.37937     38.73680     11285
0.38707     38.82493     11516
0.39477     38.90793     11744
0.40247     38.99000     11974
0.41010     39.10320     12201
0.41773     39.22133     12427
0.42537     39.35087     12653
0.43300     39.46950     12879
0.44067     39.56727     13106
0.44823     39.72187     13330
0.45573     39.90113     13552
0.46310     40.13340     13773
0.47057     40.33203     13994
0.47813     40.49640     14218
0.48580     40.58560     14448
0.49320     40.80370     14664
0.50067     41.00020     14888
0.50813     41.19667     15112
0.51560     41.39320     15336
0.52307     41.58963     15560
0.53053     41.78617     15784
0.53800     41.98260     16008
0.54547     42.17913     16232
0.55293     42.37560     16456
0.56040     42.57210     16680
0.56787     42.76860     16904
0.57533     42.96507     17128
0.58280     43.16160     17352
0.59027     43.35803     17576
0.59773     43.55457     17800
0.60520     43.75110     18024
0.61267     43.94753     18248
0.62013     44.14407     18472
0.62760     44.34050     18696
0.63507     44.53703     18920
0.64253     44.73350     19144
0.65000     44.93000     19368
0.65747     45.12650     19592
0.66493     45.32297     19816
0.67240     45.51950     20040
0.67987     45.71593     20264
0.68733     45.91247     20488
0.69480     46.10890     20712
0.69990     46.24320     20867
