#      D       Lambda1     Log(g) = 3.6
0.00010     60.61110     0
0.00587     60.10183     173
0.01163     59.59267     346
0.01740     59.08350     519
0.02317     58.57427     692
0.02893     58.06507     865
0.03470     57.55590     1038
0.04047     57.04667     1211
0.04617     56.53453     1385
0.05217     56.05493     1562
0.05763     55.51250     1723
0.06370     55.04470     1902
0.06973     54.56773     2080
0.07577     54.09657     2258
0.08167     53.60317     2432
0.08760     53.11500     2607
0.09390     52.67460     2793
0.09967     52.16980     2966
0.10613     51.75527     3157
0.11237     51.30373     3341
0.11850     50.83980     3522
0.12487     50.41330     3710
0.13147     50.02367     3905
0.13810     49.63890     4101
0.14483     49.26730     4300
0.15133     48.86103     4495
0.15800     48.47780     4692
0.16487     48.12980     4895
0.17143     47.72777     5089
0.17823     47.37330     5290
0.18517     47.04623     5495
0.19197     46.68933     5696
0.19907     46.39943     5906
0.20613     46.09483     6115
0.21323     45.80217     6325
0.22030     45.50040     6537
0.22740     45.21160     6747
0.23457     44.93167     6959
0.24200     44.73610     7182
0.24920     44.47440     7395
0.25643     44.21380     7609
0.26373     43.97703     7828
0.27123     43.81307     8050
0.27870     43.63180     8271
0.28617     43.44817     8492
0.29370     43.29870     8718
0.30130     43.19790     8943
0.30897     43.13363     9170
0.31663     43.10000     9397
0.32430     43.10000     9624
0.33197     43.10000     9854
0.33963     43.10000     10081
0.34730     43.14520     10308
0.35493     43.22643     10537
0.36250     43.34330     10761
0.36993     43.53943     10981
0.37750     43.66320     11205
0.38507     43.79943     11429
0.39250     43.98750     11649
0.39980     44.22860     11865
0.40717     44.43903     12086
0.41450     44.66720     12303
0.42183     44.89453     12520
0.42897     45.17603     12731
0.43603     45.47370     12940
0.44307     45.78230     13148
0.45013     46.08030     13357
0.45733     46.34643     13570
0.46433     46.65817     13777
0.47153     46.92767     13990
0.47867     47.21517     14201
0.48590     47.47280     14415
0.49293     47.77703     14623
0.50037     47.96770     14843
0.50787     48.12610     15068
0.51537     48.28460     15293
0.52287     48.44300     15518
0.53037     48.60150     15743
0.53787     48.75990     15968
0.54537     48.91840     16193
0.55287     49.07680     16418
0.56037     49.23530     16643
0.56787     49.39370     16868
0.57537     49.55220     17093
0.58287     49.71060     17318
0.59037     49.86910     17543
0.59787     50.02750     17768
0.60537     50.18600     17993
0.61287     50.34440     18218
0.62037     50.50290     18443
0.62787     50.66130     18668
0.63537     50.81980     18893
0.64287     50.97820     19118
0.65037     51.13670     19343
0.65787     51.29510     19568
0.66537     51.45360     19793
0.67287     51.61200     20018
0.68037     51.77050     20243
0.68787     51.92890     20468
0.69537     52.08740     20693
0.69990     52.18320     20831
