#      D       Lambda1     Log(g) = 4.3
0.05360     85.01000     0
0.05910     84.46000     165
0.06460     83.91000     330
0.07010     83.36000     495
0.07560     82.81000     660
0.08110     82.26000     825
0.08660     81.71000     990
0.09210     81.16000     1155
0.09760     80.61000     1320
0.10310     80.06000     1485
0.10860     79.51000     1650
0.11410     78.96000     1815
0.11960     78.41000     1980
0.12510     77.86000     2145
0.13060     77.31000     2310
0.13610     76.76000     2475
0.14160     76.21000     2640
0.14710     75.66000     2805
0.15260     75.11000     2970
0.15810     74.56000     3135
0.16360     74.01000     3300
0.16910     73.46000     3465
0.17460     72.91000     3630
0.18010     72.36000     3795
0.18560     71.81000     3960
0.19110     71.26000     4125
0.19660     70.71000     4290
0.20210     70.16000     4455
0.20760     69.61000     4620
0.21300     69.04930     4779
0.21763     68.42620     4918
0.22240     67.81000     5055
0.22793     67.26537     5218
0.23333     66.70603     5377
0.23860     66.13160     5532
0.24470     65.64770     5709
0.25120     65.21700     5901
0.25727     64.72817     6080
0.26380     64.30350     6276
0.27033     63.88167     6469
0.27700     63.48390     6666
0.28407     63.16057     6875
0.29140     62.90070     7092
0.29887     62.68673     7313
0.30647     62.52497     7538
0.31413     62.38490     7765
0.32187     62.32530     7994
0.32960     62.24710     8223
0.33733     62.33860     8455
0.34510     62.36430     8682
0.35273     62.52027     8911
0.36040     62.65650     9138
0.36783     62.88657     9355
0.37527     63.11400     9575
0.38277     63.31993     9797
0.39017     63.56127     10016
0.39747     63.83580     10232
0.40487     64.07307     10451
0.41207     64.36297     10664
0.41927     64.65833     10877
0.42627     64.99693     11084
0.43343     65.29960     11296
0.44040     65.64870     11502
0.44753     65.96133     11713
0.45463     66.27533     11923
0.46153     66.63400     12127
0.46840     66.99720     12327
0.47537     67.34570     12533
0.48217     67.72263     12734
0.48913     68.06603     12940
0.49613     68.40297     13147
0.50303     68.76393     13354
0.50993     69.12483     13561
0.51683     69.48573     13768
0.52373     69.84667     13975
0.53063     70.20757     14182
0.53753     70.56853     14389
0.54443     70.92943     14596
0.55133     71.29033     14803
0.55823     71.65127     15010
0.56513     72.01223     15217
0.57203     72.37313     15424
0.57893     72.73403     15631
0.58583     73.09497     15838
0.59273     73.45593     16045
0.59963     73.81683     16252
0.60653     74.17773     16459
0.61343     74.53867     16666
0.62033     74.89957     16873
0.62723     75.26053     17080
0.63413     75.62143     17287
0.64103     75.98233     17494
0.64793     76.34327     17701
0.65483     76.70423     17908
0.66173     77.06513     18115
0.66863     77.42603     18322
0.67553     77.78697     18529
0.68243     78.14793     18736
0.68933     78.50883     18943
0.69623     78.86973     19150
0.70000     79.06680     19265
