#      D       Lambda1     Log(g) = 3.4
0.00000     58.53140     0
0.00613     58.06427     184
0.01227     57.59717     368
0.01840     57.13010     552
0.02453     56.66297     736
0.03067     56.19583     920
0.03680     55.72870     1104
0.04293     55.26167     1288
0.04907     54.79453     1472
0.05520     54.32740     1656
0.06133     53.86027     1840
0.06747     53.39323     2024
0.07310     52.87070     2190
0.07910     52.39020     2367
0.08483     51.87800     2536
0.09033     51.33830     2698
0.09633     50.85883     2875
0.10217     50.35993     3050
0.10840     49.91110     3234
0.11463     49.45967     3418
0.12047     48.95907     3590
0.12657     48.49097     3773
0.13287     48.04723     3959
0.13913     47.60093     4144
0.14560     47.18320     4335
0.15207     46.76897     4526
0.15853     46.35017     4717
0.16527     45.98013     4919
0.17180     45.57230     5112
0.17847     45.18550     5309
0.18523     44.82273     5509
0.19220     44.49640     5715
0.19920     44.18300     5922
0.20597     43.81533     6122
0.21303     43.50867     6331
0.22000     43.18820     6540
0.22703     42.87717     6748
0.23417     42.59720     6959
0.24143     42.34203     7177
0.24870     42.09300     7392
0.25600     41.84660     7608
0.26343     41.65333     7831
0.27090     41.47300     8052
0.27840     41.30070     8274
0.28597     41.16820     8498
0.29357     41.04763     8723
0.30117     40.93997     8948
0.30880     40.85260     9177
0.31647     40.82373     9404
0.32417     40.82000     9632
0.33187     40.82000     9860
0.33957     40.82000     10088
0.34727     40.83603     10316
0.35477     40.99797     10538
0.36237     41.12273     10763
0.36997     41.24530     10988
0.37730     41.47700     11205
0.38480     41.64590     11430
0.39197     41.92400     11642
0.39927     42.16773     11858
0.40667     42.38423     12077
0.41357     42.72543     12284
0.42080     42.98430     12498
0.42803     43.24527     12712
0.43510     43.54470     12921
0.44207     43.87483     13127
0.44910     44.18720     13335
0.45633     44.45060     13549
0.46360     44.69820     13764
0.47067     45.00363     13973
0.47747     45.36283     14177
0.48463     45.63937     14389
0.49210     45.81540     14610
0.49963     45.96463     14836
0.50717     46.11383     15062
0.51470     46.26300     15288
0.52223     46.41217     15514
0.52977     46.56133     15740
0.53730     46.71050     15966
0.54483     46.85967     16192
0.55237     47.00883     16418
0.55990     47.15800     16644
0.56743     47.30717     16870
0.57497     47.45633     17096
0.58250     47.60550     17322
0.59003     47.75473     17548
0.59757     47.90393     17774
0.60510     48.05310     18000
0.61263     48.20227     18226
0.62017     48.35143     18452
0.62770     48.50060     18678
0.63523     48.64977     18904
0.64277     48.79893     19130
0.65030     48.94810     19356
0.65783     49.09727     19582
0.66537     49.24643     19808
0.67290     49.39560     20034
0.68043     49.54483     20260
0.68797     49.69403     20486
0.69550     49.84320     20712
0.69990     49.93030     20846
