#      D       Lambda1     Log(g) = 4.0
0.00010     64.45560     0
0.00700     64.13080     207
0.01390     63.80600     414
0.02080     63.48120     621
0.02770     63.15640     828
0.03460     62.83160     1035
0.04150     62.50680     1242
0.04840     62.18200     1449
0.05530     61.85720     1656
0.06220     61.53240     1863
0.06910     61.20770     2070
0.07600     60.88290     2277
0.08283     60.54717     2479
0.08957     60.19177     2678
0.09603     59.78500     2869
0.10223     59.33900     3052
0.10893     58.97917     3250
0.11500     58.52050     3429
0.12127     58.08730     3617
0.12783     57.69617     3811
0.13443     57.31447     4006
0.14103     56.93390     4201
0.14760     56.55080     4395
0.15403     56.13513     4586
0.16073     55.77333     4783
0.16737     55.39660     4982
0.17433     55.08860     5188
0.18120     54.76090     5391
0.18790     54.39440     5589
0.19487     54.08097     5795
0.20187     53.77930     6002
0.20893     53.49467     6211
0.21603     53.21803     6421
0.22310     52.93780     6630
0.23023     52.67133     6841
0.23737     52.40637     7052
0.24470     52.19690     7272
0.25197     51.96213     7487
0.25923     51.73560     7702
0.26663     51.55653     7921
0.27417     51.43853     8144
0.28170     51.31480     8367
0.28923     51.18957     8590
0.29677     51.06883     8816
0.30440     51.05000     9042
0.31203     51.05000     9268
0.31967     51.04813     9494
0.32727     51.02120     9722
0.33490     51.02990     9948
0.34240     51.16500     10173
0.34987     51.30943     10394
0.35733     51.45787     10615
0.36483     51.59767     10837
0.37237     51.72177     11060
0.37983     51.87787     11281
0.38717     52.09003     11501
0.39457     52.27563     11720
0.40200     52.44980     11940
0.40937     52.64870     12158
0.41663     52.87977     12373
0.42387     53.11677     12587
0.43110     53.36090     12801
0.43830     53.60680     13014
0.44540     53.88550     13224
0.45247     54.17363     13433
0.45947     54.48090     13640
0.46627     54.83030     13841
0.47330     55.12210     14049
0.48037     55.40300     14258
0.48720     55.73760     14460
0.49407     56.06390     14663
0.50103     56.37077     14869
0.50800     56.68180     15078
0.51497     56.99280     15287
0.52193     57.30380     15496
0.52890     57.61480     15705
0.53587     57.92583     15914
0.54283     58.23687     16123
0.54980     58.54790     16332
0.55677     58.85890     16541
0.56373     59.16990     16750
0.57070     59.48090     16959
0.57767     59.79190     17168
0.58463     60.10290     17377
0.59160     60.41390     17586
0.59857     60.72493     17795
0.60553     61.03597     18004
0.61250     61.34700     18213
0.61947     61.65800     18422
0.62643     61.96900     18631
0.63340     62.28000     18840
0.64037     62.59100     19049
0.64733     62.90200     19258
0.65430     63.21300     19467
0.66127     63.52403     19676
0.66823     63.83507     19885
0.67520     64.14610     20094
0.68217     64.45710     20303
0.68913     64.76810     20512
0.69610     65.07910     20721
0.70000     65.25320     20840
