#      D       Lambda1     Log(g) = 2.8
0.00000     51.38960     0
0.00503     50.75097     151
0.01007     50.11243     302
0.01510     49.47390     453
0.02013     48.83537     604
0.02517     48.19673     755
0.03020     47.55820     906
0.03523     46.91967     1057
0.04027     46.28113     1208
0.04530     45.64250     1359
0.05057     45.02223     1514
0.05637     44.45763     1685
0.06160     43.83750     1839
0.06683     43.21633     1993
0.07260     42.64310     2163
0.07857     42.08377     2341
0.08450     41.52750     2517
0.09007     40.93533     2681
0.09607     40.39113     2858
0.10207     39.84620     3035
0.10810     39.30490     3213
0.11427     38.77467     3395
0.12063     38.27383     3583
0.12717     37.78987     3779
0.13347     37.27843     3965
0.13980     36.77000     4152
0.14637     36.29430     4346
0.15290     35.81000     4539
0.15947     35.33463     4733
0.16637     34.90553     4937
0.17310     34.45400     5136
0.17977     33.99303     5336
0.18683     33.59263     5545
0.19370     33.16430     5748
0.20070     32.75610     5955
0.20783     32.36950     6169
0.21517     32.02280     6386
0.22253     31.68160     6604
0.22987     31.33120     6821
0.23710     30.96590     7038
0.24420     30.57690     7248
0.25193     30.33057     7477
0.25950     30.03700     7701
0.26707     29.74130     7925
0.27500     29.56970     8160
0.28283     29.35783     8392
0.29077     29.18383     8624
0.29877     29.04907     8864
0.30680     28.93240     9102
0.31490     28.88000     9342
0.32300     28.88000     9582
0.33110     28.87820     9822
0.33920     28.87060     10065
0.34730     28.87000     10305
0.35540     28.87000     10545
0.36347     28.94137     10784
0.37150     29.05190     11022
0.37957     29.13773     11264
0.38763     29.22243     11503
0.39567     29.32150     11741
0.40367     29.45417     11978
0.41157     29.63977     12212
0.41957     29.76477     12452
0.42750     29.93360     12684
0.43527     30.16020     12914
0.44320     30.33440     13149
0.45090     30.58870     13374
0.45873     30.79770     13606
0.46653     31.02447     13837
0.47430     31.25360     14067
0.48193     31.52917     14293
0.48953     31.81177     14518
0.49713     32.09307     14743
0.50450     32.43310     14964
0.51187     32.77307     15185
0.51923     33.11307     15406
0.52660     33.45310     15627
0.53397     33.79307     15848
0.54133     34.13307     16069
0.54870     34.47310     16290
0.55607     34.81307     16511
0.56343     35.15307     16732
0.57080     35.49310     16953
0.57817     35.83307     17174
0.58553     36.17307     17395
0.59290     36.51310     17616
0.60027     36.85307     17837
0.60763     37.19307     18058
0.61500     37.53310     18279
0.62237     37.87307     18500
0.62973     38.21307     18721
0.63710     38.55310     18942
0.64447     38.89307     19163
0.65183     39.23307     19384
0.65920     39.57310     19605
0.66657     39.91307     19826
0.67393     40.25307     20047
0.68130     40.59310     20268
0.68867     40.93307     20489
0.69603     41.27307     20710
0.70000     41.45620     20831
