#      D       Lambda1     Log(g) = 3.0
0.00000     56.04720     0
0.00537     55.45977     161
0.01073     54.87237     322
0.01610     54.28500     483
0.02147     53.69757     644
0.02683     53.11017     805
0.03220     52.52280     966
0.03757     51.93537     1127
0.04293     51.34797     1288
0.04830     50.76060     1449
0.05367     50.17323     1610
0.05903     49.58583     1771
0.06440     48.99840     1932
0.06977     48.41167     2090
0.07487     47.80097     2240
0.08010     47.19800     2394
0.08577     46.63730     2561
0.09183     46.12273     2740
0.09720     45.53640     2898
0.10303     44.99163     3070
0.10897     44.45850     3245
0.11527     43.96697     3431
0.12107     43.42013     3605
0.12760     42.96310     3798
0.13393     42.48277     3985
0.14020     41.99290     4170
0.14650     41.50350     4356
0.15283     41.01777     4543
0.15917     40.53173     4733
0.16593     40.10773     4933
0.17267     39.67943     5132
0.17937     39.24567     5330
0.18640     38.87470     5538
0.19273     38.38873     5728
0.19947     37.96743     5927
0.20647     37.58520     6134
0.21363     37.23443     6346
0.22070     36.86470     6558
0.22770     36.48220     6762
0.23520     36.21710     6987
0.24257     35.91657     7205
0.24983     35.58850     7420
0.25733     35.31850     7645
0.26497     35.08617     7871
0.27267     34.88010     8099
0.28043     34.69970     8329
0.28827     34.55393     8564
0.29613     34.42850     8797
0.30407     34.36660     9032
0.31203     34.37303     9268
0.31993     34.26413     9505
0.32790     34.26570     9741
0.33587     34.31173     9977
0.34380     34.39000     10212
0.35177     34.39000     10451
0.35970     34.44400     10686
0.36763     34.52367     10921
0.37553     34.61077     11158
0.38340     34.72160     11391
0.39127     34.84320     11624
0.39913     34.96333     11860
0.40697     35.09970     12092
0.41477     35.26253     12323
0.42247     35.46420     12551
0.43020     35.66090     12780
0.43797     35.83893     13010
0.44570     36.02570     13239
0.45347     36.20627     13466
0.46097     36.47227     13688
0.46873     36.64760     13915
0.47637     36.87247     14141
0.48397     37.11300     14366
0.49137     37.40810     14585
0.49893     37.65843     14809
0.50647     37.90957     15035
0.51403     38.16180     15262
0.52157     38.41290     15488
0.52913     38.66510     15715
0.53667     38.91620     15941
0.54423     39.16843     16168
0.55177     39.41957     16394
0.55933     39.67180     16621
0.56687     39.92290     16847
0.57443     40.17510     17074
0.58197     40.42620     17300
0.58953     40.67843     17527
0.59707     40.92957     17753
0.60463     41.18180     17980
0.61217     41.43290     18206
0.61973     41.68510     18433
0.62727     41.93620     18659
0.63483     42.18843     18886
0.64237     42.43957     19112
0.64993     42.69180     19339
0.65747     42.94290     19565
0.66503     43.19510     19792
0.67257     43.44620     20018
0.68013     43.69843     20245
0.68767     43.94957     20471
0.69523     44.20180     20698
0.69990     44.35730     20840
