#      D       Lambda1     Log(g) = 4.1
0.00010     69.83750     0
0.00627     69.34697     185
0.01247     68.85377     371
0.01867     68.36063     557
0.02487     67.86743     743
0.03107     67.37423     929
0.03727     66.88107     1115
0.04340     66.38520     1302
0.04977     65.91920     1490
0.05663     65.52730     1693
0.06357     65.14747     1898
0.07053     64.77767     2104
0.07793     64.50387     2326
0.08530     64.21810     2544
0.09267     63.93877     2762
0.09977     63.58970     2972
0.10657     63.19127     3173
0.11340     62.79200     3375
0.11977     62.32633     3563
0.12600     61.84000     3747
0.13240     61.38010     3936
0.13900     60.94840     4131
0.14560     60.51500     4326
0.15213     60.07207     4519
0.15880     59.64950     4719
0.16557     59.24167     4916
0.17230     58.82710     5115
0.17917     58.43633     5318
0.18613     58.06083     5524
0.19313     57.69893     5731
0.19990     57.29430     5931
0.20700     56.95050     6144
0.21427     56.64607     6359
0.22157     56.34323     6575
0.22883     56.03030     6790
0.23610     55.72650     7008
0.24347     55.44713     7226
0.25093     55.18657     7447
0.25850     54.96830     7671
0.26617     54.77273     7898
0.27367     54.52343     8120
0.28143     54.37663     8350
0.28917     54.22397     8582
0.29697     54.09000     8813
0.30487     54.09000     9050
0.31277     54.09000     9284
0.32067     54.08673     9518
0.32857     54.08687     9752
0.33637     54.21583     9986
0.34417     54.34457     10217
0.35197     54.46447     10448
0.35977     54.58633     10679
0.36740     54.78510     10905
0.37487     55.04627     11126
0.38260     55.19970     11358
0.39017     55.42037     11582
0.39750     55.70940     11799
0.40500     55.95420     12021
0.41237     56.24033     12241
0.41990     56.48230     12465
0.42717     56.79023     12680
0.43443     57.09860     12895
0.44143     57.46157     13099
0.44877     57.76137     13318
0.45573     58.13247     13522
0.46290     58.46580     13737
0.46970     58.86890     13935
0.47687     59.20130     14147
0.48383     59.57537     14353
0.49087     59.93267     14561
0.49770     60.32730     14766
0.50453     60.72183     14971
0.51137     61.11647     15176
0.51820     61.51110     15381
0.52503     61.90563     15586
0.53187     62.30027     15791
0.53870     62.69490     15996
0.54553     63.08943     16201
0.55237     63.48407     16406
0.55920     63.87870     16611
0.56603     64.27323     16816
0.57287     64.66787     17021
0.57970     65.06250     17226
0.58653     65.45703     17431
0.59337     65.85167     17636
0.60020     66.24630     17841
0.60703     66.64083     18046
0.61387     67.03547     18251
0.62070     67.43010     18456
0.62753     67.82463     18661
0.63437     68.21927     18866
0.64120     68.61390     19071
0.64803     69.00843     19276
0.65487     69.40307     19481
0.66170     69.79770     19686
0.66853     70.19230     19891
0.67537     70.58687     20096
0.68220     70.98150     20301
0.68903     71.37610     20506
0.69587     71.77067     20711
0.69990     72.00360     20834
