#      D       Lambda1     Log(g) = 4.2
0.00000     82.64850     0
0.00557     82.00940     167
0.01113     81.37027     334
0.01670     80.73110     501
0.02227     80.09193     668
0.02783     79.45287     835
0.03340     78.81370     1002
0.03897     78.17453     1169
0.04453     77.53547     1336
0.05010     76.89630     1503
0.05567     76.25713     1670
0.06123     75.61807     1837
0.06680     74.97890     2004
0.07237     74.33973     2171
0.07793     73.70060     2338
0.08350     73.06150     2505
0.08907     72.42233     2672
0.09463     71.78320     2839
0.10020     71.14410     3006
0.10577     70.50493     3173
0.11133     69.86577     3340
0.11690     69.22670     3507
0.12253     68.59450     3673
0.12843     67.98473     3847
0.13433     67.37413     4021
0.14063     66.80840     4207
0.14707     66.25867     4397
0.15307     65.65840     4571
0.15950     65.10800     4761
0.16563     64.52517     4939
0.17253     64.03013     5143
0.17917     63.50643     5339
0.18577     62.97297     5534
0.19290     62.51230     5748
0.19950     61.97930     5940
0.20633     61.47493     6145
0.21363     61.04543     6361
0.22090     60.61200     6576
0.22830     60.20000     6795
0.23553     59.75847     7009
0.24297     59.35263     7229
0.25060     58.98340     7452
0.25843     58.65780     7684
0.26627     58.33043     7916
0.27410     58.01010     8148
0.28213     57.73593     8386
0.29033     57.52787     8629
0.29860     57.35130     8874
0.30707     57.32967     9124
0.31553     57.29000     9373
0.32400     57.29000     9624
0.33247     57.30963     9875
0.34087     57.41770     10124
0.34923     57.55617     10372
0.35757     57.70257     10619
0.36577     57.91603     10862
0.37393     58.13980     11101
0.38200     58.40030     11343
0.38987     58.71773     11573
0.39800     58.95390     11817
0.40593     59.24947     12049
0.41333     59.65850     12265
0.42103     60.01407     12493
0.42880     60.35060     12720
0.43653     60.69913     12946
0.44407     61.08550     13169
0.45147     61.50120     13385
0.45867     61.94607     13595
0.46597     62.38473     13810
0.47327     62.81407     14024
0.48043     63.26567     14233
0.48730     63.76290     14433
0.49447     64.21610     14645
0.50190     64.62340     14865
0.50937     65.02660     15089
0.51683     65.42980     15313
0.52430     65.83300     15537
0.53177     66.23620     15761
0.53923     66.63940     15985
0.54670     67.04260     16209
0.55417     67.44580     16433
0.56163     67.84900     16657
0.56910     68.25220     16881
0.57657     68.65540     17105
0.58403     69.05860     17329
0.59150     69.46180     17553
0.59897     69.86500     17777
0.60643     70.26820     18001
0.61390     70.67140     18225
0.62137     71.07460     18449
0.62883     71.47780     18673
0.63630     71.88100     18897
0.64377     72.28420     19121
0.65123     72.68740     19345
0.65870     73.09060     19569
0.66617     73.49380     19793
0.67363     73.89700     20017
0.68110     74.30020     20241
0.68857     74.70340     20465
0.69603     75.10660     20689
0.70000     75.32080     20810
