#     D        Lambda1     Mv = 0.0
0.58330     85.00290     0
0.57707     84.48997     187
0.57083     83.97703     374
0.56460     83.46410     561
0.55837     82.95113     748
0.55213     82.43813     935
0.54590     81.92520     1122
0.53967     81.41227     1309
0.53343     80.89933     1496
0.52720     80.38640     1683
0.52097     79.87337     1870
0.51473     79.36043     2057
0.50850     78.84750     2244
0.50227     78.33457     2431
0.49603     77.82163     2618
0.48980     77.30860     2805
0.48357     76.79567     2992
0.47733     76.28273     3179
0.47110     75.76980     3366
0.46487     75.25687     3553
0.45863     74.74387     3740
0.45240     74.23090     3927
0.44617     73.71797     4114
0.43993     73.20503     4301
0.43370     72.69210     4488
0.42747     72.17913     4675
0.42123     71.66617     4862
0.41500     71.15320     5049
0.40877     70.64027     5236
0.40253     70.12733     5423
0.39630     69.61440     5610
0.39007     69.10290     5794
0.38380     68.59820     5982
0.37773     68.07077     6161
0.37210     67.49450     6327
0.36713     66.86167     6476
0.36210     66.22840     6624
0.35733     65.57493     6764
0.35310     64.88550     6888
0.34923     64.17467     7001
0.34647     63.40953     7081
0.34427     62.63403     7147
0.34300     61.82180     7182
0.34230     61.02000     7200
0.34327     60.19833     7232
0.34540     59.41270     7293
0.34833     58.66003     7378
0.35190     57.93600     7482
0.35603     57.24160     7606
0.36060     56.57880     7740
0.36530     55.92330     7878
0.36987     55.25703     8012
0.37510     54.64600     8166
0.38083     54.07667     8335
0.38640     53.49290     8499
0.39193     52.90667     8662
0.39790     52.36420     8838
0.40400     51.83820     9018
0.41003     51.30587     9199
0.41640     50.81180     9387
0.42277     50.31817     9575
0.42907     49.81637     9764
0.43567     49.35270     9959
0.44227     48.89157     10154
0.44883     48.42477     10348
0.45527     47.93793     10541
0.46220     47.52500     10746
0.46907     47.10623     10949
0.47577     46.66143     11150
0.48277     46.25777     11357
0.48990     45.88630     11571
0.49703     45.51477     11785
0.50417     45.14323     11999
0.51130     44.77170     12213
0.51843     44.40017     12427
0.52557     44.02863     12641
0.53270     43.65710     12855
0.53983     43.28557     13069
0.54697     42.91403     13283
0.55410     42.54250     13497
0.56123     42.17097     13711
0.56837     41.79943     13925
0.57550     41.42790     14139
0.58263     41.05637     14353
0.58977     40.68483     14567
0.59690     40.31330     14781
0.60403     39.94177     14995
0.61117     39.57027     15209
0.61830     39.19880     15423
0.62543     38.82727     15637
0.63257     38.45573     15851
0.63970     38.08420     16065
0.64683     37.71267     16279
0.65397     37.34113     16493
0.66110     36.96960     16707
0.66823     36.59807     16921
0.67537     36.22653     17135
0.68250     35.85500     17349
0.68963     35.48347     17563
0.69677     35.11193     17777
0.70000     34.94350     17876
