#     D        Lambda1     Mv = -5.0
0.03390     69.04000     0
0.03390     70.62333     19
0.03390     72.20667     38
0.03390     73.79000     57
0.03390     75.37333     76
0.03390     76.95667     95
0.03390     78.54000     114
0.03390     80.12333     133
0.03390     81.70667     152
0.03390     83.29000     171
0.03390     84.87333     190
0.03390     83.27214     210
0.03390     81.70071     226
0.03390     80.12929     242
0.03390     78.55786     258
0.03390     76.98643     274
0.03390     75.41500     290
0.03390     73.84357     306
0.03390     72.27214     322
0.03390     70.70071     338
0.03390     69.12929     354
0.03390     70.71284     382
0.03390     72.29308     398
0.03390     73.87333     414
0.03390     75.45358     430
0.03390     77.03383     446
0.03390     78.61408     462
0.03390     80.19432     478
0.03390     81.77457     494
0.03390     83.35482     510
0.03390     81.79000     555
0.03390     80.20667     574
0.03390     78.62333     593
0.03390     77.04000     612
0.03390     75.45667     631
0.03390     73.87333     650
0.03390     72.29000     669
0.03390     70.70667     688
0.03390     69.12333     707
0.03390     67.54000     726
0.03390     65.95667     745
0.03427     64.38207     775
0.03543     62.81933     814
0.03570     61.24334     836
0.03763     59.68173     892
0.03880     58.13980     924
0.04057     56.58973     974
0.04303     55.07210     1045
0.04627     53.57063     1139
0.04920     52.05000     1224
0.05313     50.55657     1339
0.05743     49.07193     1465
0.06207     47.60270     1598
0.06757     46.16193     1760
0.07280     44.71470     1911
0.07910     43.31250     2097
0.08450     41.87080     2256
0.09097     40.47667     2444
0.09740     39.07770     2634
0.10393     37.68437     2827
0.11090     36.31260     3033
0.11783     34.93533     3235
0.12457     33.54920     3434
0.13250     32.23250     3666
0.13920     30.84510     3861
0.14753     29.55423     4111
0.15587     28.26337     4361
0.16420     26.97250     4611
0.17253     25.68167     4861
0.18087     24.39087     5111
0.18920     23.10000     5361
0.19753     21.80913     5611
0.20587     20.51827     5861
0.21420     19.22740     6111
0.22253     17.93657     6361
0.23087     16.64577     6611
0.23920     15.35490     6861
0.24753     14.06403     7111
0.25587     12.77317     7361
0.26420     11.48230     7611
0.27253     10.19147     7861
0.28087     8.90067     8111
0.28920     7.60980     8361
0.29753     6.31893     8611
0.30587     5.02807     8861
0.31420     3.73720     9111
0.32253     2.44643     9361
0.33087     1.15557     9611
0.33920     -0.13530     9861
0.34753     -1.42617     10111
0.35587     -2.71703     10361
0.36420     -4.00790     10611
0.37253     -5.29867     10861
0.38087     -6.58953     11111
0.38920     -7.88040     11361
0.39753     -9.17127     11611
0.40290     -10.00260     11774
