#     D        Lambda1     Mv = -1.0
0.26470     85.08450     0
0.26377     84.17667     28
0.26283     83.26880     56
0.26190     82.36090     84
0.26097     81.45307     112
0.26003     80.54513     140
0.25910     79.63730     168
0.25817     78.72937     196
0.25723     77.82153     224
0.25630     76.91360     252
0.25537     76.00577     280
0.25443     75.09790     308
0.25350     74.19000     336
0.25257     73.28210     364
0.25163     72.37423     392
0.25070     71.46640     420
0.24977     70.55847     448
0.24883     69.65063     476
0.24787     68.72000     503
0.24687     67.82000     532
0.24590     66.91330     558
0.24503     66.02060     583
0.24443     65.12610     599
0.24395     64.23000     615
0.24390     63.31333     626
0.24378     62.36933     637
0.24360     61.43800     648
0.24358     60.53334     662
0.24378     59.58134     674
0.24403     58.66960     685
0.24530     57.78860     723
0.24683     56.88633     767
0.24820     56.00350     807
0.24957     55.11860     848
0.25103     54.23777     889
0.25347     53.38003     962
0.25620     52.52750     1041
0.25927     51.68963     1133
0.26250     50.86050     1227
0.26583     50.03597     1327
0.26993     49.24043     1447
0.27433     48.46527     1576
0.27907     47.71137     1717
0.28450     47.00650     1878
0.28967     46.28120     2030
0.29483     45.55677     2182
0.30060     44.87870     2355
0.30630     44.19500     2523
0.31210     43.51740     2694
0.31867     42.91483     2891
0.32503     42.29160     3079
0.33140     41.66880     3267
0.33800     41.07300     3465
0.34470     40.48610     3663
0.35150     39.91410     3867
0.35807     39.31260     4061
0.36490     38.73880     4263
0.37200     38.19920     4473
0.37937     37.70123     4694
0.38643     37.15697     4903
0.39343     36.60813     5110
0.40080     36.10550     5331
0.40830     35.62880     5553
0.41587     35.15527     5779
0.42313     34.64013     5995
0.43053     34.14670     6214
0.43793     33.65447     6433
0.44543     33.17310     6655
0.45327     32.75260     6890
0.46103     32.31973     7120
0.46870     31.86510     7347
0.47623     31.39273     7570
0.48390     30.93750     7800
0.49193     30.54963     8038
0.50000     30.17000     8280
0.50807     29.79037     8522
0.51613     29.41080     8764
0.52420     29.03120     9006
0.53227     28.65157     9248
0.54033     28.27193     9490
0.54840     27.89240     9732
0.55647     27.51277     9974
0.56453     27.13313     10216
0.57260     26.75350     10458
0.58067     26.37397     10700
0.58873     25.99433     10942
0.59680     25.61470     11184
0.60487     25.23507     11426
0.61293     24.85553     11668
0.62100     24.47590     11910
0.62907     24.09627     12152
0.63713     23.71663     12394
0.64520     23.33710     12636
0.65327     22.95747     12878
0.66133     22.57783     13120
0.66940     22.19820     13362
0.67747     21.81867     13604
0.68553     21.43903     13846
0.69360     21.05940     14088
0.70000     20.75820     14282
