#     D        Lambda1     Mv = -3.0
0.07760     85.02300     0
0.07847     83.94160     26
0.07933     82.86020     52
0.08020     81.77880     78
0.08107     80.69737     104
0.08193     79.61590     130
0.08280     78.53450     156
0.08367     77.45310     182
0.08453     76.37170     208
0.08540     75.29030     234
0.08627     74.20887     260
0.08713     73.12740     286
0.08800     72.04600     312
0.08887     70.96460     338
0.08973     69.88320     364
0.09060     68.80180     390
0.09163     67.75323     418
0.09283     66.69060     451
0.09417     65.63177     491
0.09560     64.58120     531
0.09713     63.52480     574
0.09880     62.48500     624
0.10007     61.43650     659
0.10177     60.39610     707
0.10383     59.35223     766
0.10637     58.32787     842
0.10927     57.31653     926
0.11267     56.30817     1025
0.11537     55.29047     1106
0.11877     54.28960     1205
0.12253     53.29137     1316
0.12603     52.28993     1420
0.12980     51.29970     1530
0.13377     50.32180     1648
0.13807     49.36067     1772
0.14273     48.40943     1909
0.14680     47.43920     2031
0.15147     46.49187     2168
0.15613     45.54317     2305
0.16067     44.58807     2438
0.16577     43.66553     2588
0.17093     42.74203     2740
0.17593     41.81173     2887
0.18057     40.86330     3023
0.18603     39.95890     3184
0.19153     39.06227     3346
0.19673     38.14103     3499
0.20200     37.22560     3654
0.20757     36.33290     3818
0.21267     35.41093     3968
0.21837     34.52737     4136
0.22403     33.63870     4303
0.23013     32.77750     4486
0.23587     31.89463     4655
0.24160     31.00670     4824
0.24700     30.10050     4983
0.25230     29.19000     5142
0.25760     28.27950     5301
0.26290     27.36890     5460
0.26820     26.45840     5619
0.27350     25.54790     5778
0.27880     24.63740     5937
0.28410     23.72690     6096
0.28940     22.81640     6255
0.29470     21.90590     6414
0.30000     20.99540     6573
0.30530     20.08480     6732
0.31060     19.17430     6891
0.31590     18.26380     7050
0.32120     17.35330     7209
0.32650     16.44280     7368
0.33180     15.53230     7527
0.33710     14.62180     7686
0.34240     13.71130     7845
0.34770     12.80070     8004
0.35300     11.89020     8163
0.35830     10.97970     8322
0.36360     10.06920     8481
0.36890     9.15870     8640
0.37420     8.24820     8799
0.37950     7.33770     8958
0.38480     6.42720     9117
0.39010     5.51660     9276
0.39540     4.60610     9435
0.40070     3.69560     9594
0.40600     2.78510     9753
0.41130     1.87460     9912
0.41660     0.96410     10071
0.42190     0.05360     10230
0.42720     -0.85690     10389
0.43250     -1.76750     10548
0.43780     -2.67800     10707
0.44310     -3.58850     10866
0.44840     -4.49900     11025
0.45370     -5.40950     11184
0.45900     -6.32000     11343
0.46430     -7.23050     11502
0.46960     -8.14100     11661
0.47490     -9.05160     11820
0.48020     -9.96210     11979
0.48050     -10.01360     11990
