#     D        Lambda1     Mv = -0.5
0.50330     85.00560     0
0.49673     84.39720     197
0.49017     83.78880     394
0.48360     83.18040     591
0.47703     82.57207     788
0.47047     81.96370     985
0.46390     81.35530     1182
0.45733     80.74690     1379
0.45077     80.13853     1576
0.44420     79.53010     1773
0.43763     78.92177     1970
0.43107     78.31340     2167
0.42450     77.70500     2364
0.41793     77.09660     2561
0.41137     76.48823     2758
0.40480     75.87990     2955
0.39823     75.27147     3152
0.39167     74.66310     3349
0.38510     74.05470     3546
0.37853     73.44630     3743
0.37197     72.83793     3940
0.36540     72.22960     4137
0.35883     71.62120     4334
0.35227     71.01280     4531
0.34570     70.40440     4728
0.33913     69.79600     4925
0.33257     69.18513     5120
0.32660     68.52010     5298
0.32067     67.84967     5473
0.31483     67.17427     5645
0.30923     66.47623     5813
0.30400     65.75290     5967
0.29923     64.99733     6107
0.29410     64.26260     6258
0.28990     63.47310     6381
0.28623     62.65667     6488
0.28260     61.83690     6594
0.28003     60.97093     6668
0.27813     60.08997     6725
0.27707     59.15557     6757
0.27723     58.26193     6781
0.27817     57.36157     6809
0.28030     56.49080     6870
0.28340     55.65200     6960
0.28747     54.84680     7081
0.29160     54.05310     7203
0.29597     53.27223     7331
0.30087     52.52400     7475
0.30660     51.83600     7647
0.31227     51.14233     7814
0.31790     50.44710     7980
0.32377     49.77390     8153
0.33057     49.19333     8354
0.33690     48.56000     8544
0.34340     47.94660     8736
0.35013     47.36130     8938
0.35693     46.77980     9139
0.36377     46.20530     9344
0.37063     45.63223     9547
0.37767     45.08367     9755
0.38503     44.57750     9976
0.39243     44.07700     10195
0.39990     43.58660     10419
0.40720     43.07000     10635
0.41493     42.62227     10864
0.42257     42.15710     11090
0.43007     41.67463     11312
0.43793     41.25097     11545
0.44570     40.80710     11778
0.45357     40.38357     12011
0.46153     39.97833     12247
0.46943     39.56110     12481
0.47727     39.13527     12713
0.48520     38.72770     12948
0.49333     38.36020     13192
0.50147     37.99270     13436
0.50960     37.62520     13680
0.51773     37.25770     13924
0.52587     36.89020     14168
0.53400     36.52270     14412
0.54213     36.15517     14656
0.55027     35.78763     14900
0.55840     35.42010     15144
0.56653     35.05260     15388
0.57467     34.68510     15632
0.58280     34.31760     15876
0.59093     33.95010     16120
0.59907     33.58260     16364
0.60720     33.21510     16608
0.61533     32.84760     16852
0.62347     32.48010     17096
0.63160     32.11260     17340
0.63973     31.74510     17584
0.64787     31.37760     17828
0.65600     31.01010     18072
0.66413     30.64260     18316
0.67227     30.27510     18560
0.68040     29.90760     18804
0.68853     29.54007     19048
0.69667     29.17253     19292
0.70000     29.02190     19394
