#     D        Lambda1     Mv = -2.0
0.12780     85.02000     0
0.12913     83.95333     40
0.13047     82.88667     80
0.13180     81.82000     120
0.13313     80.75333     160
0.13447     79.68667     200
0.13580     78.62000     240
0.13713     77.55333     280
0.13847     76.48667     320
0.13980     75.42000     360
0.14113     74.35333     400
0.14247     73.28667     440
0.14380     72.22000     480
0.14513     71.15333     520
0.14647     70.08667     560
0.14780     69.02000     600
0.14923     67.93080     638
0.15103     66.86827     688
0.15293     65.79507     742
0.15487     64.69500     799
0.15647     63.62723     844
0.15863     62.56273     907
0.16113     61.51000     977
0.16317     60.44250     1037
0.16567     59.39627     1109
0.16847     58.34807     1190
0.17133     57.30487     1273
0.17420     56.26850     1359
0.17727     55.23780     1448
0.18057     54.21360     1544
0.18450     53.21100     1662
0.18833     52.20727     1774
0.19240     51.21200     1893
0.19677     50.23027     2021
0.20107     49.24103     2147
0.20537     48.25210     2273
0.21007     47.28177     2411
0.21527     46.34223     2564
0.22007     45.37777     2705
0.22440     44.38820     2832
0.22927     43.42713     2975
0.23440     42.47910     3126
0.23977     41.54787     3287
0.24523     40.61567     3446
0.25043     39.67593     3598
0.25623     38.76887     3769
0.26250     37.89530     3954
0.26853     37.00053     4132
0.27377     36.06187     4289
0.27900     35.12000     4443
0.28490     34.21760     4617
0.29120     33.34700     4803
0.29727     32.45957     4982
0.30263     31.52370     5140
0.30877     30.64180     5321
0.31477     29.74707     5501
0.32077     28.85237     5681
0.32677     27.95757     5861
0.33277     27.06287     6041
0.33877     26.16817     6221
0.34477     25.27337     6401
0.35077     24.37867     6581
0.35677     23.48390     6761
0.36277     22.58917     6941
0.36877     21.69447     7121
0.37477     20.79967     7301
0.38077     19.90497     7481
0.38677     19.01027     7661
0.39277     18.11547     7841
0.39877     17.22077     8021
0.40477     16.32607     8201
0.41077     15.43127     8381
0.41677     14.53657     8561
0.42277     13.64180     8741
0.42877     12.74707     8921
0.43477     11.85237     9101
0.44077     10.95757     9281
0.44677     10.06287     9461
0.45277     9.16817     9641
0.45877     8.27337     9821
0.46477     7.37867     10001
0.47077     6.48390     10181
0.47677     5.58917     10361
0.48277     4.69447     10541
0.48877     3.79970     10721
0.49477     2.90497     10901
0.50077     2.01027     11081
0.50677     1.11547     11261
0.51277     0.22077     11441
0.51877     -0.67393     11621
0.52477     -1.56873     11801
0.53077     -2.46343     11981
0.53677     -3.35820     12161
0.54277     -4.25293     12341
0.54877     -5.14763     12521
0.55477     -6.04243     12701
0.56077     -6.93713     12881
0.56677     -7.83183     13061
0.57277     -8.72663     13241
0.57877     -9.62133     13421
0.58140     -10.01400     13502
