#     D        Lambda1     Mv = -4.0
0.05710     68.82000     0
0.05710     70.40333     19
0.05710     71.98667     38
0.05710     73.57000     57
0.05710     75.15333     76
0.05710     76.73666     95
0.05710     78.32000     114
0.05710     79.90333     133
0.05710     81.48667     152
0.05710     83.07000     171
0.05710     84.65333     190
0.05710     83.03345     221
0.05710     81.44280     237
0.05710     79.85216     253
0.05710     78.26152     269
0.05710     76.67088     285
0.05710     75.08024     301
0.05710     73.48959     317
0.05710     71.89895     333
0.05710     70.30831     349
0.05710     68.71766     365
0.05710     70.28429     389
0.05710     71.85571     405
0.05710     73.42714     421
0.05710     74.99857     437
0.05710     76.57000     453
0.05710     78.14143     469
0.05710     79.71286     485
0.05710     81.28429     501
0.05710     82.85571     517
0.05710     84.42714     533
0.05710     82.82000     561
0.05710     81.23666     580
0.05710     79.65333     599
0.05710     78.07000     618
0.05710     76.48667     637
0.05710     74.90333     656
0.05710     73.32000     675
0.05710     71.73666     694
0.05710     70.15333     713
0.05710     68.57000     732
0.05710     66.98667     751
0.05787     65.40270     782
0.05890     63.82420     810
0.05993     62.26077     841
0.06130     60.69170     879
0.06350     59.14260     942
0.06573     57.59430     1006
0.06833     56.04833     1081
0.07180     54.52690     1179
0.07660     53.04120     1320
0.08140     51.55540     1461
0.08680     50.08430     1620
0.09213     48.61437     1774
0.09850     47.19230     1962
0.10493     45.77133     2152
0.11170     44.36100     2352
0.11807     42.93820     2537
0.12580     41.58060     2766
0.13303     40.19333     2977
0.14093     38.84687     3211
0.14860     37.49020     3435
0.15667     36.15400     3674
0.16537     34.85443     3929
0.17407     33.55613     4186
0.18287     32.27037     4445
0.19117     30.94590     4691
0.19937     29.61570     4937
0.20757     28.28543     5183
0.21577     26.95520     5429
0.22397     25.62500     5675
0.23217     24.29480     5921
0.24037     22.96460     6167
0.24857     21.63433     6413
0.25677     20.30410     6659
0.26497     18.97390     6905
0.27317     17.64370     7151
0.28137     16.31343     7397
0.28957     14.98320     7643
0.29777     13.65300     7889
0.30597     12.32280     8135
0.31417     10.99260     8381
0.32237     9.66233     8627
0.33057     8.33210     8873
0.33877     7.00190     9119
0.34697     5.67170     9365
0.35517     4.34143     9611
0.36337     3.01120     9857
0.37157     1.68100     10103
0.37977     0.35080     10349
0.38797     -0.97940     10595
0.39617     -2.30967     10841
0.40437     -3.63990     11087
0.41257     -4.97010     11333
0.42077     -6.30030     11579
0.42897     -7.63057     11825
0.43717     -8.96080     12071
0.44360     -10.00440     12266
