#      D       Lambda1    TE = F7
0.07740     85.00670     0
0.08040     84.04000     90
0.08340     83.07330     180
0.08640     82.10670     270
0.08940     81.14000     360
0.09240     80.17330     450
0.09540     79.20670     540
0.09840     78.24000     630
0.10140     77.27330     720
0.10437     76.31017     806
0.10707     75.34143     884
0.11003     74.38000     970
0.11240     73.40000     1035
0.11537     72.43467     1118
0.11843     71.47253     1207
0.12123     70.49917     1288
0.12417     69.53740     1373
0.12717     68.57460     1460
0.13020     67.61210     1551
0.13300     66.63880     1632
0.13683     65.69753     1742
0.13987     64.73063     1832
0.14297     63.77190     1919
0.14620     62.81130     2016
0.14943     61.85197     2110
0.15270     60.90100     2205
0.15597     59.94767     2300
0.15923     58.99203     2398
0.16217     58.02263     2483
0.16570     57.07290     2586
0.16863     56.10330     2671
0.17200     55.15070     2769
0.17577     54.21257     2879
0.17933     53.26823     2983
0.18297     52.32453     3089
0.18633     51.37247     3188
0.18970     50.42510     3288
0.19300     49.47340     3384
0.19610     48.51000     3474
0.19973     47.57133     3577
0.20317     46.62583     3677
0.20657     45.67887     3773
0.21033     44.74273     3883
0.21400     43.80310     3990
0.21810     42.88340     4110
0.22210     41.95760     4224
0.22573     41.01377     4330
0.22960     40.07830     4443
0.23367     39.15527     4559
0.23760     38.22500     4671
0.24143     37.29250     4783
0.24563     36.37447     4906
0.25003     35.46727     5032
0.25400     34.54000     5148
0.25847     33.63657     5279
0.26273     32.72143     5404
0.26617     31.76613     5504
0.27117     30.89223     5648
0.27573     29.99343     5782
0.27997     29.07667     5903
0.28457     28.17687     6038
0.28903     27.27507     6169
0.29360     26.37800     6303
0.29810     25.47150     6435
0.30230     24.55310     6555
0.30673     23.64793     6685
0.31110     22.73500     6810
0.31513     21.80433     6926
0.31970     20.90510     7059
0.32433     20.01227     7195
0.32867     19.10087     7322
0.33227     18.15940     7427
0.33567     17.20337     7526
0.33910     16.24910     7626
0.34237     15.29567     7721
0.34547     14.33200     7811
0.34780     13.34330     7878
0.34993     12.35000     7939
0.35157     11.33277     7985
0.35280     10.32500     8019
0.35350     9.27400     8040
0.35183     8.26767     8090
0.35080     7.26200     8118
0.34920     6.25400     8166
0.34760     5.24600     8214
0.34600     4.23800     8262
0.34440     3.23000     8310
0.34280     2.22200     8358
0.34120     1.21400     8406
0.33960     0.20600     8454
0.33800     -0.80200     8502
0.33640     -1.81000     8550
0.33480     -2.81800     8598
0.33320     -3.82600     8646
0.33160     -4.83400     8694
0.33000     -5.84200     8742
0.32840     -6.85000     8790
0.32680     -7.85800     8838
0.32520     -8.86600     8886
0.32360     -9.87400     8934
0.32340     -10.00000     8942
