#      D       Lambda1    TE = F2
0.22990     85.00530     0
0.23450     84.04260     138
0.23910     83.07980     276
0.24370     82.11700     414
0.24830     81.15420     552
0.25290     80.19140     690
0.25750     79.22860     828
0.26210     78.26580     966
0.26670     77.30300     1104
0.27107     76.32343     1232
0.27533     75.33887     1354
0.27963     74.35680     1480
0.28403     73.38440     1609
0.28830     72.39380     1731
0.29267     71.41940     1859
0.29683     70.43923     1981
0.30100     69.45590     2103
0.30543     68.48360     2233
0.30970     67.50590     2358
0.31400     66.53000     2484
0.31837     65.55893     2609
0.32337     64.61160     2759
0.32837     63.66570     2906
0.33323     62.71333     3049
0.33793     61.75023     3187
0.34233     60.77750     3313
0.34670     59.80160     3441
0.35123     58.83107     3575
0.35570     57.86250     3708
0.36017     56.89393     3842
0.36483     55.92893     3979
0.36907     54.94917     4103
0.37417     54.01157     4253
0.37910     53.06540     4398
0.38383     52.10477     4537
0.38877     51.15977     4679
0.39367     50.20650     4826
0.39873     49.26653     4975
0.40363     48.32047     5119
0.40860     47.37590     5265
0.41353     46.42777     5407
0.41840     45.47320     5550
0.42353     44.53633     5701
0.42867     43.59803     5852
0.43410     42.68000     6012
0.43990     41.78070     6183
0.44557     40.87193     6350
0.45080     39.94280     6504
0.45593     39.00367     6655
0.46123     38.07677     6811
0.46670     37.15670     6972
0.47240     36.25450     7140
0.47793     35.34083     7303
0.48350     34.43140     7467
0.48933     33.53603     7639
0.49530     32.65020     7815
0.50103     31.75043     7981
0.50650     30.83490     8145
0.51200     29.91930     8307
0.51707     28.97910     8453
0.52213     28.03723     8599
0.52707     27.08637     8744
0.53173     26.12337     8878
0.53607     25.14603     9005
0.54037     24.17013     9128
0.54410     23.17030     9237
0.54803     22.17157     9349
0.55143     21.15987     9451
0.55473     20.13767     9547
0.55840     19.12940     9654
0.56070     18.08200     9717
0.56250     17.01330     9768
0.56387     15.93627     9806
0.56523     14.87667     9844
0.56530     13.81190     23754
0.56547     12.73783     44816
0.56490     11.66120     44844
0.56347     10.59160     44881
0.56093     9.54783     44954
0.55763     8.52850     45050
0.55347     7.54590     45172
0.54780     6.64400     45342
0.54213     5.74220     45512
0.53643     4.83503     45683
0.53073     3.92790     45854
0.52503     3.02073     46025
0.51933     2.11360     46196
0.51363     1.20643     46367
0.50793     0.29930     46538
0.50223     -0.60780     46709
0.49657     -1.50970     46879
0.49090     -2.41150     47049
0.48523     -3.31340     47219
0.47953     -4.22050     47390
0.47387     -5.12240     47560
0.46820     -6.02420     47730
0.46253     -6.92607     47900
0.45683     -7.83320     48071
0.45113     -8.74037     48242
0.44543     -9.64750     48413
0.44320     -10.00290     48482
